_nt,run,分类结果,原始返回
prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm,1,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为混合现实与人工算法相关的前瞻性研究，可能涉及3D数据处理与建模，但未明确是否为口腔医学领域，也未提及具体软件，信息不足无法判断。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm,2,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为混合现实与人工算法相关的前瞻性研究，可能涉及3D数据处理与建模，但摘要缺失，无法判断是否属于口腔医学范畴、是否使用非牙科专用3D软件及文献类型是否符合。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm,3,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为混合现实与人工算法相关的前瞻性研究，可能涉及3D数据处理与建模，但未明确是否属于口腔医学范畴，也未明确是否使用非牙科专用3D软件，信息不足无法判断。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
international symposium napoca biodent 2021 new challenges in dental research 10 th edition 5 th 6 th november 2021,1,exclude,"【分类结果】: exclude
【分类理由】: 该文献为国际研讨会的会议摘要/会议记录（Symposium），属于会议摘要等非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
international symposium napoca biodent 2021 new challenges in dental research 10 th edition 5 th 6 th november 2021,2,exclude,"【分类结果】: exclude
【分类理由】: 该文献为国际研讨会（会议）的会议摘要/会议记录，属于会议摘要等非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
international symposium napoca biodent 2021 new challenges in dental research 10 th edition 5 th 6 th november 2021,3,exclude,"【分类结果】: exclude
【分类理由】: 该文献为会议研讨会（Symposium）的会议摘要/会议记录，属于非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
dynamic navigation for dental implant placement,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为口腔种植领域的动态导航技术，可能涉及3D软件（如医学影像或导航软件），但摘要缺失，无法判断是否使用非牙科专用3D软件，也无法确认文献类型与年份，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
dynamic navigation for dental implant placement,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为牙种植动态导航相关，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
dynamic navigation for dental implant placement,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为牙种植动态导航相关，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
use and performance of artificial intelligence applications in the diagnosis of chronic apical periodontitis based on cone beam computed tomography imaging,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为人工智能在锥形束CT诊断慢性根尖周炎中的应用，属于口腔医学（牙体牙髓/放射）范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
use and performance of artificial intelligence applications in the diagnosis of chronic apical periodontitis based on cone beam computed tomography imaging,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示该研究涉及口腔医学（慢性根尖周炎的CBCT诊断）且为原创研究类型，但摘要缺失，无法判断是否使用了非牙科专用3D软件，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
use and performance of artificial intelligence applications in the diagnosis of chronic apical periodontitis based on cone beam computed tomography imaging,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示该研究涉及口腔医学（慢性根尖周炎的CBCT诊断），但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，信息不足需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
finite element analysis of the effect of framework materials at the bone implant interface in the all on four implant system,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为有限元分析（通常使用ANSYS、ABAQUS等非牙科专用工程软件），且属于口腔种植领域，符合PCC框架；但摘要缺失，无法确认具体软件、文献类型及发表年份，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
