_nt,Key,Title,原因代码,原始返回
the role of patient specific implants in the oral and maxillofacial region,GNTHJANG,The role of patient specific implants in the oral and maxillofacial region.,2,【原因代码】: 2
implementation of 3d printing and computer aided design and manufacturing cad cam in craniofacial reconstruction,4I6N7UPZ,Implementation of 3D Printing and Computer-Aided Design and Manufacturing (CAD/CAM) in Craniofacial Reconstruction.,2,【原因代码】: 2
cross center model adaptive tooth segmentation,GM2LLIKT,Cross-center Model Adaptive Tooth segmentation.,2,【原因代码】: 2
an open source three dimensional growth model of the mandible,CLHU5JFE,"An open-source, three-dimensional growth model of the mandible.",3,【原因代码】: 3
virtual setup in orthodontics planning and evaluation,7NEJ5SFL,Virtual setup in orthodontics: planning and evaluation.,2,【原因代码】: 2
3d printing technologies for removable dentures manufacturing a review of potentials and challenges,YWZB3ZFE,3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,2,【原因代码】: 2
geo net geometry guided pretraining for tooth point cloud segmentation,CY4M86BS,Geo-Net: Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.,3,【原因代码】: 3
digital duplication of maxillary complete denture a dental technique,JP3XLWTI,Digital duplication of maxillary complete denture: A dental technique.,3,【原因代码】: 3
redefining mri based skull segmentation through ai driven multimodal integration,7G2A3A2R,Redefining MRI-Based Skull Segmentation Through AI-Driven Multimodal Integration.,1,【原因代码】: 1
root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts,78Q8XIIY,Root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts.,3,【原因代码】: 3
role of digital technologies in special care dentistry a scoping review,EILJESU9,Role of Digital Technologies in Special Care Dentistry: A Scoping Review.,2,【原因代码】: 2
fusion of intra oral scans in cone beam computed tomography scans,MGCLIWPA,Fusion of intra-oral scans in cone-beam computed tomography scans.,3,【原因代码】: 3
fully automated tooth segmentation and labeling for both full and partial arch intraoral scans using deep learning,V6QXLTTL,Fully Automated Tooth Segmentation and Labeling for Both Full- and Partial-Arch Intraoral Scans Using Deep Learning.,3,【原因代码】: 3
