序号,Key,Title,优势,挑战,缺口,原始返回
1519,I7KVKAFC,Effect of print orientation and duration of ultraviolet curing on the dimensional accuracy of a 3-dimensionally printed orthodontic clear aligner design,A9,"C5,C6","G1,G4","【优势】: A9
【挑战】: C5, C6
【缺口】: G1, G4"
1194,HIB4B72X,Comparison of digital study model superimposition methods using implant-supported crowns and best-fit algorithms,A6,C4,G1,"【优势】: A6
【挑战】: C4
【缺口】: G1"
2146,88HUKGCR,Evaluation of the use of PEEK material in post-core and crown restorations using finite element analysis,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1280,4ZGWKF9Y,Estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the Invisalign appliance,A9,C4,G1,"【优势】: A9
【挑战】: C4
【缺口】: G1"
1299,P23TVHFB,Effect of build angle and layer height on the accuracy of 3-dimensional printed dental models,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1866,49BSQFC2,"Tooth shape and sex estimation: a 3D geometric morphometric landmark-based comparative analysis of artificial neural networks, support vector machines, and Random Forest models",A6,C4,G4,"【优势】: A6
【挑战】: C4
【缺口】: G4"
443,I5RLGRTP,Accuracy of 3-dimensional stereophotogrammetry: Comparison of the 3dMD and Bellus3D facial scanning systems with one another and with direct anthropometry.,A6,C9,G9,"【优势】: A6
【挑战】: C9
【缺口】: G9"
319,AES2CIZM,Automated assessment of mandibular shape asymmetry in 3-dimensions.,"A5,A6",C9,G9,"【优势】: A5, A6
【挑战】: C9
【缺口】: G9"
1813,SE6G5JDN,Comparison of 1-and 3-piece directly 3-dimensional printed indirect bonding trays: An in vitro study,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
2208,SNIDCHC3,Assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition: A retrospective study,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
828,C5PL839F,Different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces: Finite element analysis,A9,C4,G1,"【优势】: A9
【挑战】: C4
【缺口】: G1"
2226,HIY5AECS,Biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
2256,GHP84UX8,Where is the center of resistance of a maxillary first molar? A 3-dimensional finite element analysis,A9,C9,"G1,G4","【优势】: A9
【挑战】: C9
【缺口】: G1, G4"
2049,JHGMXHR6,"Accuracy of a new, slim, and rigid CAD-CAM transfer tray: An in vivo study",A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
1848,PDF7C9KQ,Evaluation of planned and achieved root angulation changes in teeth adjacent to mandibular premolar extraction sites in patients treated with Invisalign: A retrospective study,A9,C4,"G1,G4","【优势】: A9
【挑战】: C4
【缺口】: G1, G4"
1746,378PQPRK,Three-dimensional zone of centers of resistance in maxillary central incisors and first molars: Couple-based finite element determination,A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
17,T8Q2R8EA,Effect of the presence of orthodontic brackets on intraoral scans.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1901,U5GXFII9,Cross-modality imaging of bisphosphonate-treated murine jawbones,"A2,A4,A6","C4,C5","G1,G4","【优势】: A2, A4, A6
【挑战】: C4, C5
【缺口】: G1, G4"
933,SUL3GW4D,MarginView3D: A Novel Software Enabling Comprehensive Three-Dimensional Surgical Pathology Documentation for Improved Intra- and Postoperative Cancer Care,"A2,A5",C9,"G1,G4","【优势】: A2, A5
【挑战】: C9
【缺口】: G1, G4"
1756,6SIK9KIX,A Feasibility Study of HoloLens Ear Image Guidance for Ear Reconstruction,"A1,A5,A6",C4,"G1,G4","【优势】: A1, A5, A6
【挑战】: C4
【缺口】: G1, G4"
89,3NRBHY63,Application of a virtual and mixed reality-navigation system using commercially available devices to the lateral temporal bone resection.,"A1,A3,A5",C9,G1,"【优势】: A1, A3, A5
【挑战】: C9
【缺口】: G1"
28,WPFWC6I6,Automatic Segmentation of Dental Root Canal and Merging with Crown Shape.,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
653,9LU3ERIG,Three-Dimensional Tooth Models with Pulp Cavity Enhance Dental Anatomy Education,"A2,A5,A6",C9,"G1,G4","【优势】: A2, A5, A6
【挑战】: C9
【缺口】: G1, G4"
1441,VTYTBDL8,Novel Design and Optimization of Porous Titanium Structure for Mandibular Reconstruction,"A1,A6",C9,G1,"【优势】: A1, A6
【挑战】: C9
【缺口】: G1"
1916,LLS6DR9F,Is Beauty a Matter of Volume Distribution? Proposal of a New Aesthetic Three-Dimensional Guide in Orthognathic Surgery,A9,C9,"G1,G4","【优势】: A9
【挑战】: C9
【缺口】: G1, G4"
1401,FK2AQUZY,Waferless Orthognathic Surgery with Customized Osteosynthesis and Surgical Guides: A Prospective Study,"A1,A6",C9,G4,"【优势】: A1, A6
【挑战】: C9
【缺口】: G4"
1967,6BVQQI7U,Qualitative exploration of 3D printing in Swedish healthcare: perceived effects and barriers,"A1,A5,A6","C3,C8","G1,G4","【优势】: A1, A5, A6
【挑战】: C3, C8
【缺口】: G1, G4"
673,4RGTB6EY,A pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors-bite malocclusion based on three-dimensional reconstructive imaging technique,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
81,ATFDULYF,Three-dimensional evaluation of condylar morphology after orthodontic treatment in adult patients with Class II malocclusion by cone-beam computed tomography.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
2180,4YHU6J4I,Automated 3D segmentation of the hyoid bone in CBCT using nnU-Net v2: a retrospective study on model performance and potential clinical utility,"A5,A6",C9,G1,"【优势】: A5, A6
【挑战】: C9
【缺口】: G1"
18,QV9TASMT,3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population.,"A2,A6",C9,"G1,G4","【优势】: A2, A6
【挑战】: C9
【缺口】: G1, G4"
96,QD7MIRSD,Evaluation of CBCT reconstructed tooth models at different thresholds and voxels and their accuracy in fusion with IOS data: an in vitro validation study.,A6,C4,G1,"【优势】: A6
【挑战】: C4
【缺口】: G1"
87,4I8FWCMQ,Design and development of a virtual reality simulation for dental implant prosthesis training.,"A2,A5,A6",C4,G1,"【优势】: A2, A5, A6
【挑战】: C4
【缺口】: G1"
