Title,_nt,原标注软件,PDF,结论,全文中出现的非牙科3D软件
Evaluation of the use of PEEK material in post-core and crown restorations using finite element analysis,evaluation of the use of peek material in post core and crown restorations using finite element analysis,Simpleware;Rhinoceros,Tekin 等 - Evaluation of the use of PEEK material in post-core and crown restorations using finite element anal.pdf,A_原标注软件在全文出现,Algor; Simpleware; VRMesh
Where is the center of resistance of a maxillary first molar? A 3-dimensional finite element analysis,where is the center of resistance of a maxillary first molar a 3 dimensional finite element analysis,Mimics;3-Matic,Gandhi 等 - 2021 - Where is the center of resistance of a maxillary first molar A 3-dimensional finite element analysi.pdf,A_原标注软件在全文出现,3-Matic; Abaqus; Mimics
Assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition: A retrospective study,assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition a retrospective study,Final Surface,Sharp 等 - 2022 - Assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual applian.pdf,A_原标注软件在全文出现,CloudCompare; Final Surface; Final surface
Biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,SolidWorks,Huang 等 - 2021 - Biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and.pdf,A_原标注软件在全文出现,ANSYS; Mimics; Solidworks
Effect of the presence of orthodontic brackets on intraoral scans.,effect of the presence of orthodontic brackets on intraoral scans,Geomagic Design X,Kang 等 - 2021 - Effect of the presence of orthodontic brackets on intraoral scans..pdf,C_全文未出现任何非牙科3D软件名,
A Feasibility Study of HoloLens Ear Image Guidance for Ear Reconstruction,a feasibility study of hololens ear image guidance for ear reconstruction,3D Slicer;MeshLab;Blender,Jiang 等 - 2025 - A Feasibility Study of HoloLens Ear Image Guidance for Ear Reconstruction..pdf,A_原标注软件在全文出现,3D Slicer; 3D slicer; Blender; MeshLab; Meshlab
MarginView3D: A Novel Software Enabling Comprehensive Three-Dimensional Surgical Pathology Documentation for Improved Intra- and Postoperative Cancer Care,marginview3d a novel software enabling comprehensive three dimensional surgical pathology documentation for improved intra and postoperative cancer care,ZBrush,Karasick 等 - 2025 - MarginView3D A Novel Software Enabling Comprehensive Three-Dimensional Surgical Pathology Documenta.pdf,A_原标注软件在全文出现,Blender; ZBrush
Waferless Orthognathic Surgery with Customized Osteosynthesis and Surgical Guides: A Prospective Study,waferless orthognathic surgery with customized osteosynthesis and surgical guides a prospective study,Mimics,Espino-Segura-Illa 等 - 2024 - Waferless Orthognathic Surgery with Customized Osteosynthesis and Surgical Guides A Prospective Stu.pdf,A_原标注软件在全文出现,3-matic; Mimics
A pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors-bite malocclusion based on three-dimensional reconstructive imaging technique,a pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors bite malocclusion based on three dimensional reconstructive imaging technique,Mimics;3-Matic;Geomagic Wrap,Li 等 - 2023 - A pilot investigation of condylar position and asymmetry in patients with unilateral posterior sciss.pdf,A_原标注软件在全文出现,3-matic; Geomagic Wrap; Mimics
Qualitative exploration of 3D printing in Swedish healthcare: perceived effects and barriers,qualitative exploration of 3d printing in swedish healthcare perceived effects and barriers,Meshmixer,Sag 等 - 2024 - Qualitative exploration of 3D printing in Swedish healthcare perceived effects and barriers..pdf,A_原标注软件在全文出现,Meshmixer; slicer
Evaluation of prostheses retained zygomatic and dental implants in large defects in the maxilla due to tumors or major trauma by biomechanical 3- dimensional  finite element analysis.,evaluation of prostheses retained zygomatic and dental implants in large defects in the maxilla due to tumors or major trauma by biomechanical 3 dimensional finite element analysis,ANSYS;SolidWorks;Mimics;3-Matic,Yemenoglu 等 - 2025 - Evaluation of prostheses retained zygomatic and dental implants in large defects in the maxilla due.pdf,A_原标注软件在全文出现,3-matic; ANSYS; Mimics; SolidWorks; Solidworks
