样本,编号,Key,Title,流程记录原因,证据等级,PDF,命中非牙科软件,命中牙科专用软件,全文长度,证据片段,摘要
A_排除抽样,1,P5U2KFAM,Increased deformations are dispensable for cell mechanoresponse in engineered bone analogs mimicking aging bone marrow.,不属于口腔医学范畴,全文,Regner 等 - 2023 - Increased deformations are dispensable for cell mechanoresponse in engineered bone analogs mimicking.pdf,Meshmixer；HyperMesh；ABAQUS；MATLAB；MSC,,94019,"MATLAB :: ion data was fitted  160  using a 2-term exponential decay function [f(x) = aebx + cedx] representing viscoelastic material relaxation.  161  Next, instantaneous force and displacement data was collected during 20% compression at a rate of 10.8  162  mm/s (Fig.2c). Compression data was entered into MATLAB, converted to engineering stress and  163  engineering strain, and then fit using a 5th order polynomial [f(x) = ax5 + bx4 + cx3 + dx2 + ex +f] representing  164  the instantaneous material behavior. Stress-strain curves for the calibration and HA gels are provided in  165  Supplementary Fig.S1.  1 || ABAQUS :: te meshes for finite  189  element analysis. 3D printed well geometries between 4 and 8mm were imported as STL files and converted  190  to rigid R3D4 mixed elements. The hydrogels were meshed using hexahedral C3D8R elements with a size of  191  0.25 mm. These meshes we","Aged individuals and astronauts experience bone loss despite rigorous physical activity. Bone mechanoresponse is in-part regulated by mesenchymal stem cells  (MSCs) that respond to mechanical stimuli. Direct delivery of low intensity  vibration (LIV) recovers MSC proliferation in senescence and simulated  microgravity models, indicating that age-related reductions in mechanical signal  delivery within bone marrow may contribute to declining bone mechanoresponse. To  answer this question, we developed a 3D bone marrow analog that controls  trabecular geometry, marrow mechanics and external stimuli. Validated finite  element (FE) models were developed to quantify strain environment within  hydrogels during LIV. Bone marrow analogs with gyroid-based trabeculae of bone  volume fractions (BV/TV) corresponding to adult (25%) and aged (13%) mice were  printed using polylactic acid (PLA). MSCs e"
A_排除抽样,2,9W9E5HVY,Toothsegnet: Image Degradation Meets Tooth Segmentation in CBCT Images,未使用非牙科专用3D软件,全文,Liu 等 - 2023 - Toothsegnet Image Degradation Meets Tooth Segmentation in CBCT Images.pdf,,,21560,,"In computer-assisted orthodontics, three-dimensional tooth models are required for many medical treatments. Tooth segmentation from cone-beam computed tomography (CBCT) images is a crucial step in constructing the models. However, CBCT image quality problems such as metal artifacts and blurring caused by shooting equipment and patients’ dental conditions make the segmentation difficult. In this paper, we propose ToothSegNet, a new framework which acquaints the segmentation model with generated degraded images during training. ToothSegNet merges the information of high and low quality images from the designed degradation simulation module using channel-wise cross fusion to reduce the semantic gap between encoder and decoder, and also refines the shape of tooth prediction through a structural constraint loss. Experimental results suggest that ToothSegNet produces more precise segmentation "
A_排除抽样,3,QVUWC6BB,"Open-source, 3D printable IOL holder for detailed, smartphone-based anterior segment photography",不属于口腔医学范畴,全文,"Passaro 等 - 2024 - Open-source, 3D printable IOL holder for detailed, smartphone-based anterior segment photography.pdf",,,14175,,
A_排除抽样,4,9RG8ZHBS,A Novel Artificial Intelligence-Based Approach for Quantitative Assessment of Angiogenesis in the Ex Ovo CAM Model,不属于口腔医学范畴,全文,Faihs 等 - 2022 - A Novel Artificial Intelligence-Based Approach for Quantitative Assessment of Angiogenesis in the Ex.pdf,ImageJ,,27122,"ImageJ :: easurement technique to compare the results. 2.3.1. Manual Analysis The manual analysis of the vascular network of CAMs is very time-consuming, es- pecially for larger sample sizes. Furthermore, the manual analysis is prone to human error and bias. We performed the manual analysis with the Software ImageJ (National Institutes of Health, Bethesda, MD, USA). It is possible to count the branching points of the vasculature with the ‘Multi-point Tool’. Furthermore, the mean vessel thickness can be evaluated by measuring a random sample of vessels with the straight-line selection tool. Our study included ","Simple Summary Angiogenesis is crucial in tissue regeneration and a relevant factor in tumor growth. Consequently, there is a demand for methods to assess angiogenesis. The chorioallantoic membrane (CAM) assay is a widely used in vivo model for the study of angiogenesis. However, there is no established gold standard to evaluate the vascularisation of the CAM, which limits the comparability of the different studies. In this manuscript, we present a novel approach to address this topic. Angiogenesis is a highly regulated process. It promotes tissue regeneration and contributes to tumor growth. Existing therapeutic concepts interfere with different steps of angiogenesis. The quantification of the vasculature is of crucial importance for research on angiogenetic effects. The chorioallantoic membrane (CAM) assay is widely used in the study of angiogenesis. Ex ovo cultured chick embryos devel"
A_排除抽样,5,69LQ9WZ4,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,未使用非牙科专用3D软件,全文,Abduo和Lau - 2023 - Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different.pdf,Geomagic,coDiagnostiX,42726,"Geomagic ::  posed against each surgical model with the placed implants to  determine the differences between the implants. The teeth of  the models were used as landmarks for the initial superimposi­ tion, which was followed by automated best fit alignment of  the models by a 3-dimensional rendering software (Geomagic  Control X, Raindrop, Geomagic Inc., Research Triangle Park, NC,  United States). To ensure consistency, similar set of teeth were  used for every superimposition step (facial cusp tips of canines  and 2nd premolars). Subsequently, the placed implants were  compared against the planned implants by ","Correct implant placement is necessary for satisfactory implant restoration. Therefore, the use of surgical guide is recommended. This study evaluated the  accuracy of implant placement in posterior edentulous areas with different levels  of tooth-support by novice clinicians according to fully-guided (FG),  pilot-guided (PG), and freehand (FH) placement protocols. A mandibular model with  missing first molars was designed. On one side, the model had a bound edentulous  area (BEA), and on the other side, a free end edentulous area (FEA). Fourteen  clinicians new to implant dentistry participated in the study, and each clinician  inserted an implant in the BEA and FEA sites for every placement protocol. Angle,  vertical and maximum horizontal platform and apex deviations were measured. The  FG placement was more accurate than the PG and FH placements. This was  significant for BEA angle d"
A_排除抽样,6,HVBNRLAV,Effective removal of Pb2+ from oral medical wastewater via an activated three-dimensional framework carbon (3D AFC),不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,7,MZW42EWD,Growth allometry and dental topography in Upper Triassic conodonts support trophic differentiation and molar-like element function,不属于口腔医学范畴,全文,Kelz 等 - 2023 - Growth allometry and dental topography in Upper Triassic conodonts support trophic differentiation a.pdf,MeshLab；Analyze；Avizo；Amira,,70917,"Amira :: ed in Milan and Padua (Department of Geosciences, Uni- versity of Padua). Methods Scanning.—The specimens were scanned with a resolution of 1 μm using a microtomo- graph Nanotom S (General Electric) with the AniRA-ImmOs platform (SFR Biosciences, UMS 3444), Ecole Normale Supérieure de Lyon, France. Amira software was used for the 3D reconstruction (Guenser et al. 2019; Fig. 2). The meshes are available on Morpho- Bank: http://morphobank.org/permalink/? P4048. Growth Allometry.—The length of the elem- ent was used as a proxy for the size of the cono- dont animal, as was done in previous studies (Pur || MeshLab :: wth Allometry.—The length of the elem- ent was used as a proxy for the size of the cono- dont animal, as was done in previous studies (Purnell 1993, 1994; Zhang et al. 2018; Ginot and Goudemand 2019). The element length, the platform length, and the platform area were me","Conodont elements have high rates of morphological evolution, but the drivers of this disparity are debated. Positive allometric relationships between dimensions of food-processing surfaces and entire P-1 elements have been used to argue that these elements performed mechanical digestion. If involved in food processing, the surface of the element should grow at a rate proportional to the increase in energy requirements of the animal. This inference of function relies on the assumption that the energy requirements of the animal grew faster ( approximately equal to mass(0.75)) than the tooth area ( approximately equal to mass(0.67)). We reevaluate this assumption based on metabolic rates across animals and calculate the allometry in platform-bearing P-1 elements of Late Triassic co-occurring taxa, Metapolygnathus communisti and Epigondolella rigoi, using 3D models of ontogenetic series. Po"
A_排除抽样,8,5BZNI5MC,Leveraging solid solubility and miscibility of etoricoxib in Soluplus? towards manufacturing of 3D printed etoricoxib tablets by additive manufacturing,不属于口腔医学范畴,全文,Krupali Ashokbhai 等 - 2024 - Leveraging solid solubility and miscibility of etoricoxib in Soluplus® towards manufacturing of 3D p.pdf,SolidWorks；Analyze；Slicer,,79763,"Analyze :: metically. As  a reference, an empty aluminium pan was used. The inert atmosphere  was nitrogen gas flowing at a rate of 20.0 mL/min. Heating was done for  the thermal analysis at a rate of 10 ◦C per minute, starting at room  temperature and working up to 250 ◦C. The STARe software was utilized  to analyze the heat of fusion (ΔHf) in J/g and the peak temperature. 2.2.3. Drug–Polymer miscibility prediction To accurately depict the miscibility of the drug and polymer, χ can be  derived by F-H (Flory Huggins) calculations (Table 1). This is because a  single-unit system formed by the drug and polymer wi || SolidWorks :: s or clogging of the printer’s nozzle. The extruded filament  physical dimension was well suitable for Ultimaker 2 + FFF 3D Printer  for tabletting structure. 2.2.6. Design and development of 3DP tablets using FDM The 3DP tablet prototypes were created using the c","This research focuses on exploring the solid solubility and miscibility of Etoricoxib, a poorly water-soluble antiinflammatory drug, within Soluplus (R), a polymer used as a matrix for 3D-printed tablets. By utilizing hot-melt extrusion (HME), the drug was dispersed within Soluplus (R) to enhance its solubility. The extrudates were then employed in 3D printing to create customized solid oral dosage form. This study's novelty lies in combining HME and 3D printing, aiming to improve drug incorporation, stability, and effectiveness in the final formulation. Comprehensive characterization techniques, including hot stage microscopy (HSM), scanning electron microscopy (SEM), micro-computed tomography (Micro-CT), florescence microscopy, optical microscopy, X-ray diffraction (XRD), Fourier transform infrared spectroscopy (FT-IR), solubility studies, differential scanning calorimetry (DSC), therm"
A_排除抽样,9,S22NI99I,The impact of mixed reality training method on novice trainees of dental implants: an in vitro study,未使用非牙科专用3D软件,全文,Wang 等 - 2025 - The impact of mixed reality training method on novice trainees of dental implants an in vitro study.pdf,Geomagic Control；Geomagic；Analyze,3Shape,53338,"Geomagic Control :: ative and postop­ erative 3D models were aligned by manually selecting  the crown and other nonshiftable features in the models  in cooperation with the global ICP algorithm. The rela­ tive position between implant placement and planned  implant location was subsequently observed via the soft­ ware Geomagic Control. The placed implant location  was determined in reverse order according to scan rod  information and coordinates of both placed and planned  implants were extracted. The positional deviation of the  plan and actual implants was calculated, including plat­ form point deviation, middle point deviatio || Analyze :: ) postgraduate(53.3%) 0.7125 Test scores 90.80 ± 3.32 91.07 ± 3.94 0.5330 Notes: Age and test scores were continuous variables, which were expressed  as mean ± standard deviation. Differences between measurement data were  compared through analysis ","Objectives A novel dental implant training method based on mixed reality (MR) navigation technology was developed. Therefore, the aim of this study was to evaluate the learning effect of this method in novices. Methods We designed and developed an MR-based training method that provides real-time supervision, teaching, and guidance. Thirty novices who had passed a baseline test and had no prior experience with implant surgery were randomly divided into two groups: the MR Group (n = 15) was trained using the MR training method, while the traditional group (n = 15) received training using conventional methods. Each group involved the following steps: (I) pretest; (II) immediate post-test; (III) dental implant training and (IV) retention test. Implant deviations, including platform points, middle points, apex points and axial angles, were measured. Subsequently, learning curves were analyzed"
A_排除抽样,10,537TYRHV,Accuracy of impressions and framework marginal fit of implant-supported complete-arch fixed dental prostheses fabricated by using direct and indirect  workflows.,未使用非牙科专用3D软件,摘要,,,,0,,
