_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
influence of splinting scan bodies or incorporating three dimensionally printed scan aids on the trueness of complete arch digital scans,Influence of splinting scan bodies or incorporating three-dimensionally printed scan aids on the trueness of complete arch digital scans.,The Journal of prosthetic dentistry,journalArticle,YCBI9HI4,INCLUDE,INCLUDE,INCLUDE,"""the custom scan bodies with a lateral extension were virtually designed (SolidWorks; Dassault Systèmes)""；""an auxiliary apparatus with 1 extended structure and 1 ring fragment was virtually designed (SolidWorks; Dassault Systèmes)""；""All STL files were imported to a metrology-grade inspection software program (Geomagic Control X; 3D systems)""",SolidWorks; Geomagic Control X,Prosthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""the custom scan bodies with a lateral extension were virtually designed (SolidWorks; Dassault Systèmes)""；""an auxiliary apparatus with 1 extended structure and 1 ring fragment was virtually designed (SolidWorks; Dassault Systèmes)""；""All STL files were imported to a metrology-grade inspection software program (Geomagic Control X; 3D systems)""
【软件】: SolidWorks; Geomagic Control X
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
time resolved prediction of dental implant biomechanics through integration of finite element analysis osseointegration dynamics and deep learning,"Time-resolved prediction of dental implant biomechanics through integration of finite element analysis, osseointegration dynamics, and deep learning",JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,G9RBUHY9,INCLUDE,EXCLUDE,INCLUDE,"The implant geometry—a threaded, root-form, cylindrical-tapered design (4.0 mm diameter, 11 mm length)—was modeled in SolidWorks® and imported into ANSYS® Workbench (R1 2024).",SolidWorks; ANSYS Workbench,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: The implant geometry—a threaded, root-form, cylindrical-tapered design (4.0 mm diameter, 11 mm length)—was modeled in SolidWorks® and imported into ANSYS® Workbench (R1 2024).
【软件】: SolidWorks; ANSYS Workbench
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,Randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,SCIENTIFIC REPORTS,journalArticle,LQZ2C4X4,INCLUDE,EXCLUDE,INCLUDE,"Conventional segmentation was performed using commercial segmentation software (Materialise Mimics, version 26.0, Materialise NV, Leuven, Belgium)",Materialise Mimics,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: Conventional segmentation was performed using commercial segmentation software (Materialise Mimics, version 26.0, Materialise NV, Leuven, Belgium)
【软件】: Materialise Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
accuracy of dicom dicom vs dicom stl protocols in computer guided surgery a human clinical study,Accuracy of DICOM-DICOM vs. DICOM-STL Protocols in Computer-Guided Surgery: A Human Clinical Study,JOURNAL OF CLINICAL MEDICINE,journalArticle,9EGJ5B29,INCLUDE,EXCLUDE,INCLUDE,"Dataset was exported in STL format, and using the software's best-fit algorithm, the image of the implant was then isolated and coupled with the corresponding implant project file to measure the deviation between the positions (Geomagic, Geomagic, Morrisville, NC, USA).",Geomagic,Implantology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: Dataset was exported in STL format, and using the software's best-fit algorithm, the image of the implant was then isolated and coupled with the corresponding implant project file to measure the deviation between the positions (Geomagic, Geomagic, Morrisville, NC, USA).
【软件】: Geomagic
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
treatment of progressive hemifacial atrophy by cartilage graft and free adipofascial flap combined with three dimensional planning,Treatment of Progressive Hemifacial Atrophy by Cartilage Graft and Free Adipofascial Flap Combined with Three-Dimensional Planning.,Plastic and reconstructive surgery,journalArticle,PYH6UXUZ,,INCLUDE,EXCLUDE,"主题为整形外科（progressive hemifacial atrophy 的面部重建），不属于口腔医学任一学科；虽方法学中明确使用 Mimics（""The image data was analyzed on Mimics Innovation Suite Software""），但主题不符纳入标准第1条。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 主题为整形外科（progressive hemifacial atrophy 的面部重建），不属于口腔医学任一学科；虽方法学中明确使用 Mimics（""The image data was analyzed on Mimics Innovation Suite Software""），但主题不符纳入标准第1条。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
is a standardised severity index needed in unicoronal craniosynostosis challenges in developing an objective metric,Is a standardised severity index needed in unicoronal craniosynostosis? Challenges in developing an objective metric.,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,journalArticle,7P53GXNZ,,INCLUDE,EXCLUDE,"片段中出现的具名软件为 Meshmixer（Autodesk），但原文表述为 ""Large holes were manually restored using Meshmixer""，属于网格修补操作；其余软件（BoneSplit、OrbSeg、R3DS、Dr. Warehouse、R）均为牙科/颅面专用工具或统计软件，且 3D Slicer 仅出现在参考文献列表（Fedorov et al. 2012）中，非本研究自身使用。缺乏本研究使用一个具名第三方非牙科3D软件进行3D数据处理/分析/建模/测量的明确证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 片段中出现的具名软件为 Meshmixer（Autodesk），但原文表述为 ""Large holes were manually restored using Meshmixer""，属于网格修补操作；其余软件（BoneSplit、OrbSeg、R3DS、Dr. Warehouse、R）均为牙科/颅面专用工具或统计软件，且 3D Slicer 仅出现在参考文献列表（Fedorov et al. 2012）中，非本研究自身使用。缺乏本研究使用一个具名第三方非牙科3D软件进行3D数据处理/分析/建模/测量的明确证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a novel approach to craniofacial analysis using automated 3d landmarking of the skull,A novel approach to craniofacial analysis using automated 3D landmarking of the skull,SCIENTIFIC REPORTS,journalArticle,22IDN6AX,INCLUDE,INCLUDE,INCLUDE,"""The DICOM images obtained from the CBCT were processed in the free software 3D Slicer32."" / ""The skull meshes were then imported into Blender33 where a half-cylindrical mesh was placed around the skull and the shrink-wrap modifier applied"" / ""the meshes were reduced to 30,000 triangles in Meshmixer34"" / ""using the MeshMonk framework28 in Matlab35""",3D Slicer; Blender; Meshmixer; MATLAB,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""The DICOM images obtained from the CBCT were processed in the free software 3D Slicer32."" / ""The skull meshes were then imported into Blender33 where a half-cylindrical mesh was placed around the skull and the shrink-wrap modifier applied"" / ""the meshes were reduced to 30,000 triangles in Meshmixer34"" / ""using the MeshMonk framework28 in Matlab35""
【软件】: 3D Slicer; Blender; Meshmixer; MATLAB
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
bioimpedance sensing surgical drill computational modelling and experimental validation,Bioimpedance Sensing Surgical Drill – Computational Modelling and Experimental Validation,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),conferencePaper,KD6XD5UU,,INCLUDE,EXCLUDE,该研究使用 MATLAB 和 Gmsh 进行有限元建模与仿真，但文献类型为 IEEE EMBC 会议论文（会议摘要/会议论文），不符合纳入标准第3条（原创研究、技术说明或病例报告），且期刊为会议论文集。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究使用 MATLAB 和 Gmsh 进行有限元建模与仿真，但文献类型为 IEEE EMBC 会议论文（会议摘要/会议论文），不符合纳入标准第3条（原创研究、技术说明或病例报告），且期刊为会议论文集。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
development of 3d in vitro mineralized bone model to reproduce dental implants osseointegration process,Development of 3D in vitro mineralized bone model to reproduce dental implants osseointegration process.,Biofabrication,journalArticle,RBJV9U6L,,INCLUDE,INCLUDE,"""The scaffold was designed using AutoDesk Fusion software."" 以及 ""PLA filament thickness and porosity were analyzed using ImageJ software analysis of SEM images.""",Autodesk Fusion; ImageJ,Implantology,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""The scaffold was designed using AutoDesk Fusion software."" 以及 ""PLA filament thickness and porosity were analyzed using ImageJ software analysis of SEM images.""
【软件】: Autodesk Fusion; ImageJ
【专科】: Implantology
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
an in vitro evaluation of bond strength and failure behavior between 3d printed cobalt chromium alloy and different types of denture base resins,An in vitro evaluation of bond strength and failure behavior between 3D-printed cobalt-chromium alloy and different types of denture base resins,JOURNAL OF DENTISTRY,journalArticle,GZCR8ZD9,INCLUDE,INCLUDE,INCLUDE,"A computer-aided design (CAD) software (Autodesk Meshmixer version 3.5; Autodesk, Inc., San Rafael, CA) was used to design a disk-shaped specimen with an 8 mm in diameter and 2 mm in thickness",Autodesk Meshmixer; Magics,Prosthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: A computer-aided design (CAD) software (Autodesk Meshmixer version 3.5; Autodesk, Inc., San Rafael, CA) was used to design a disk-shaped specimen with an 8 mm in diameter and 2 mm in thickness
【软件】: Autodesk Meshmixer; Magics
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
the geometric relationship between root length and root surface area determined from digital tooth models,The geometric relationship between root length and root surface area determined from digital tooth models.,Computers in biology and medicine,journalArticle,F5DKTHEG,INCLUDE,INCLUDE,INCLUDE,"""Utilising Meshmixer Version 3.3 (Autodesk, 2022), the roots of each three-dimensional tooth model were separated from the crowns at the presumptive cemento-enamel junction (CEJ) through a semi-automated process by an experienced clinician."" 以及 ""Meshmixer was used to segment the roots from the crowns at the cemento-enamel junction (CEJ).""",Meshmixer,Orthodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""Utilising Meshmixer Version 3.3 (Autodesk, 2022), the roots of each three-dimensional tooth model were separated from the crowns at the presumptive cemento-enamel junction (CEJ) through a semi-automated process by an experienced clinician."" 以及 ""Meshmixer was used to segment the roots from the crowns at the cemento-enamel junction (CEJ).""
【软件】: Meshmixer
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
accuracy of facial skeletal surfaces segmented from ct and cbct radiographs,Accuracy of facial skeletal surfaces segmented from CT and CBCT radiographs,SCIENTIFIC REPORTS,journalArticle,TXLBAMRE,,INCLUDE,INCLUDE,"""The raw data of the directly scanned skulls through the surface scanner were semi-automatically post-processed in the Artec Studio 16 software (Version 16.0.5.114, Luxembourg, Luxembourg) to create a complete full head surface model."" 以及 ""These were imported in Viewbox 4 software (dHAL Softwa...""",Artec Studio; Viewbox 4,Oral and Maxillofacial Radiology,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""The raw data of the directly scanned skulls through the surface scanner were semi-automatically post-processed in the Artec Studio 16 software (Version 16.0.5.114, Luxembourg, Luxembourg) to create a complete full head surface model."" 以及 ""These were imported in Viewbox 4 software (dHAL Softwa...""
【软件】: Artec Studio; Viewbox 4
【专科】: Oral and Maxillofacial Radiology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
