_nt,Title,期刊,Item Type,Key,PDF,判定,判定理由,软件,专科,应用场景,研究设计,原始返回
automated assessment of mandibular shape asymmetry in 3 dimensions,Automated assessment of mandibular shape asymmetry in 3-dimensions.,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent  societies, and the American Board of Orthodontics",journalArticle,AES2CIZM,Fan 等 - 2022 - Automated assessment of mandibular shape asymmetry in 3-dimensions..pdf,INCLUDE,"证据片段明确显示该研究自己使用了具名第三方非牙科3D软件：""segmentation was performed with ITK-SNAP open-source software case by case""。",ITK-SNAP,Orthodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【判定理由】: 证据片段明确显示该研究自己使用了具名第三方非牙科3D软件：""segmentation was performed with ITK-SNAP open-source software case by case""。
【软件】: ITK-SNAP
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
evaluation of the use of peek material in post core and crown restorations using finite element analysis,Evaluation of the use of PEEK material in post-core and crown restorations using finite element analysis,AMERICAN JOURNAL OF DENTISTRY,journalArticle,88HUKGCR,Tekin 等 - Evaluation of the use of PEEK material in post-core and crown restorations using finite element anal.pdf,EXCLUDE,"证据片段仅提到""uploaded to a computer program""和""Modeling was made of all the materials in the computer environment""，未出现任何具名的第三方非牙科3D软件（如Mimics、ANSYS等）。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提到""uploaded to a computer program""和""Modeling was made of all the materials in the computer environment""，未出现任何具名的第三方非牙科3D软件（如Mimics、ANSYS等）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
accuracy of 3 dimensional stereophotogrammetry comparison of the 3dmd and bellus3d facial scanning systems with one another and with direct anthropometry,Accuracy of 3-dimensional stereophotogrammetry: Comparison of the 3dMD and Bellus3D facial scanning systems with one another and with direct anthropometry.,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent  societies, and the American Board of Orthodontics",journalArticle,I5RLGRTP,Liu 等 - 2021 - Accuracy of 3-dimensional stereophotogrammetry Comparison of the 3dMD and Bellus3D facial scanning.pdf,INCLUDE,"该研究自身在方法中使用""open-source MeshLab software (ISTI [Italian National Research Council], Rome, Italy)""对3D面部照片进行线距和角度测量，MeshLab 为非牙科第三方3D软件。",MeshLab,Orthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用""open-source MeshLab software (ISTI [Italian National Research Council], Rome, Italy)""对3D面部照片进行线距和角度测量，MeshLab 为非牙科第三方3D软件。
【软件】: MeshLab
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
three dimensional zone of centers of resistance in maxillary central incisors and first molars couple based finite element determination,Three-dimensional zone of centers of resistance in maxillary central incisors and first molars: Couple-based finite element determination,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,378PQPRK,Li 等 - 2026 - Three-dimensional zone of centers of resistance in maxillary central incisors and first molars Coup.pdf,INCLUDE,"该研究自身在方法中使用 Mimics 软件重建三维模型（""reconstructed using Mimics software""），并导入 ANSYS Workbench 进行有限元计算（""imported into ANSYS Workbench""）。",Mimics; ANSYS Workbench,Orthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Mimics 软件重建三维模型（""reconstructed using Mimics software""），并导入 ANSYS Workbench 进行有限元计算（""imported into ANSYS Workbench""）。
【软件】: Mimics; ANSYS Workbench
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
tooth shape and sex estimation a 3d geometric morphometric landmark based comparative analysis of artificial neural networks support vector machines and random forest models,"Tooth shape and sex estimation: a 3D geometric morphometric landmark-based comparative analysis of artificial neural networks, support vector machines, and Random Forest models",3 BIOTECH,journalArticle,49BSQFC2,Natarajan 等 - 2025 - Tooth shape and sex estimation a 3D geometric morphometric landmark-based comparative analysis of a.pdf,INCLUDE,"该研究自身在方法中使用""3D landmarks were marked using 3D Slicer software (version 4.10.2...)""，3D Slicer 为具名的第三方非牙科3D软件，用于3D地标标记与数据处理。",3D Slicer,Forensic Odontology,Morphological and phenotypic analysis,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用""3D landmarks were marked using 3D Slicer software (version 4.10.2...)""，3D Slicer 为具名的第三方非牙科3D软件，用于3D地标标记与数据处理。
【软件】: 3D Slicer
【专科】: Forensic Odontology
【应用场景】: Morphological and phenotypic analysis
【研究设计】: computational"
estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the invisalign appliance,Estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the Invisalign appliance,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,4ZGWKF9Y,Desai 等 - 2025 - Estimation of centers of rotation of the maxillary incisors during nonextraction space closure using.pdf,INCLUDE,"该研究自身在方法中使用 ""Geomagic Control X (version 2022.0; 3D Systems, Rock Hill, NC) software platform"" 对数字模型进行叠加与分析，Geomagic 系列属于非牙科三维软件。",Geomagic Control X,Orthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 ""Geomagic Control X (version 2022.0; 3D Systems, Rock Hill, NC) software platform"" 对数字模型进行叠加与分析，Geomagic 系列属于非牙科三维软件。
【软件】: Geomagic Control X
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
effect of build angle and layer height on the accuracy of 3 dimensional printed dental models,Effect of build angle and layer height on the accuracy of 3-dimensional printed dental models,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,P23TVHFB,Ko 等 - 2021 - Effect of build angle and layer height on the accuracy of 3-dimensional printed dental models..pdf,INCLUDE,"该研究自身在材料与方法中使用 Netfabb software (Autodesk) 建立参考平面并切割数字模型（""Using Netfabb software (Autodesk, San Rafael, Calif), a reference plane was set up for the digital model""），Netfabb 为非牙科第三方3D软件。",Netfabb,Orthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 Netfabb software (Autodesk) 建立参考平面并切割数字模型（""Using Netfabb software (Autodesk, San Rafael, Calif), a reference plane was set up for the digital model""），Netfabb 为非牙科第三方3D软件。
【软件】: Netfabb
【专科】: Orthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
comparison of digital study model superimposition methods using implant supported crowns and best fit algorithms,Comparison of digital study model superimposition methods using implant-supported crowns and best-fit algorithms,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,HIB4B72X,Meade 等 - 2024 - Comparison of digital study model superimposition methods using implant-supported crowns and best-fi.pdf,INCLUDE,"该研究自身在方法中使用 Geomagic Control X 软件进行数字模型叠加分析，证据片段明确记载 ""Differences in Cartesian coordinates for each tooth point for each arch superimposition method, used by the Geomagic Control X (3D systems, Rock Hill, NC) software system, were recorded.""",Geomagic Control X,Orthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Geomagic Control X 软件进行数字模型叠加分析，证据片段明确记载 ""Differences in Cartesian coordinates for each tooth point for each arch superimposition method, used by the Geomagic Control X (3D systems, Rock Hill, NC) software system, were recorded.""
【软件】: Geomagic Control X
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
accuracy of a new slim and rigid cad cam transfer tray an in vivo study,"Accuracy of a new, slim, and rigid CAD-CAM transfer tray: An in vivo study",AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,JHGMXHR6,"Palone 等 - 2026 - Accuracy of a new, slim, and rigid CAD-CAM transfer tray An in vivo study.pdf",INCLUDE,"该研究自身在方法中使用""the analysis software Geomagic Control (3D System Inc, Rock Hill, NC)""进行叠加与偏差测量，Geomagic 为非牙科第三方3D软件。",Geomagic Control,Orthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用""the analysis software Geomagic Control (3D System Inc, Rock Hill, NC)""进行叠加与偏差测量，Geomagic 为非牙科第三方3D软件。
【软件】: Geomagic Control
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
comparison of 1 and 3 piece directly 3 dimensional printed indirect bonding trays an in vitro study,Comparison of 1-and 3-piece directly 3-dimensional printed indirect bonding trays: An in vitro study,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,SE6G5JDN,Eglenen和Karabiber - 2024 - Comparison of 1- and 3-piece directly 3-dimensional printed indirect bonding trays An in vitro stud.pdf,INCLUDE,"该研究自身在方法中使用 ""open-source GOM Inspect software (GOM GmbH, Braunschweig, Germany)"" 来比较角度和线性差异，GOM Inspect 是具名的第三方非牙科3D软件。",GOM Inspect,Orthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 ""open-source GOM Inspect software (GOM GmbH, Braunschweig, Germany)"" 来比较角度和线性差异，GOM Inspect 是具名的第三方非牙科3D软件。
【软件】: GOM Inspect
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
