序号,文献标题,摘要（前100字符）,处理时间,model_returned,response_id,latency_s,分类结果,分类理由,软件使用情况,应用领域,应用场景
4,Cross-center Model Adaptive Tooth segmentation.,Automatic 3-dimensional tooth segmentation on intraoral scans (IOS) plays a pivotal role in computer,2026-09-10 20:36:27,deepseek-flash,6700457a-5695-4262-98c3-dd43cb733b2f,0.94,unsure,该文献属于口腔正畸领域的3D牙齿分割研究，但摘要未明确说明是否使用了非牙科专用3D软件，无法据此排除，需进入全文复核。,无,无,无
5,"An open-source, three-dimensional growth model of the mandible.",The available reference data for the mandible and mandibular growth consists primarily of two-dimens,2026-09-10 20:36:27,deepseek-flash,09b3d989-25e2-4aaa-8144-9d5b6137e08b,1.03,unsure,该文献属于口腔颌面领域（下颌骨生长模型），但摘要未明确提及使用了何种3D软件，无法判断是否使用了非牙科专用3D软件，故需进入全文复核。,无,无,无
7,3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,The aim of this review is to investigate the use of 3D printing technologies for removable denture f,2026-09-10 20:36:27,deepseek-flash,7d41e5ed-b260-44ed-8570-418a545a292d,1.11,exclude,"标题明确标注为""A Review""，摘要也自述为综述（review），属于非原创研究文献类型，不符合纳入标准。",无,无,无
6,Three-dimensional digital applications for implant space planning in orthodontics: A narrative review.,"In the digital dentistry era, new tools, algorithms, data science approaches, and computer applicati",2026-09-10 20:36:27,deepseek-flash,a214e510-8c90-4489-b53e-4527bee9438b,1.11,exclude,"标题明确标注为""narrative review""，属于综述类文献，不符合纳入标准中""原创研究论文、技术说明、病例报告""的文献类型要求。",无,无,无
2,Implementation of 3D Printing and Computer-Aided Design and Manufacturing (CAD/CAM) in Craniofacial Reconstruction.,INTRODUCTION: The need for precision in craniomaxillofacial surgery has necessitated the evolution o,2026-09-10 20:36:27,deepseek-flash,95bfab00-1342-4160-a6c1-3e66d67419a0,1.13,exclude,摘要明确表明这是一篇系统综述（systematic review，遵循PRISMA指南），属于非原创研究类型，不符合纳入标准。,无,无,无
8,Geo-Net: Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.,Accurately delineating individual teeth in 3-dimensional tooth point clouds is an important orthodon,2026-09-10 20:36:27,deepseek-flash,480c2e29-2e2d-4dd5-b393-45256360d4f8,1.17,unsure,该文献属于口腔正畸领域的3D牙齿点云分割研究，但摘要未提及具体使用的3D软件名称，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
1,The role of patient specific implants in the oral and maxillofacial region.,"Reconstructing maxillofacial defects is quiet challenging due to the region's complex anatomy, and c",2026-09-10 20:36:27,deepseek-flash,dfae9d08-1672-4f59-bae9-fa29d8f5eb31,1.23,exclude,"摘要末句明确表明本文为综述（""This article reviews the varied aspects...""），属于非原创研究类型，不符合纳入标准。",无,无,无
3,Augmented Reality Navigation in Craniomaxillofacial/Head and Neck Surgery.,OBJECTIVE: This study aims to (1) develop an augmented reality (AR) navigation platform for cranioma,2026-09-10 20:36:28,deepseek-flash,8959fa99-1637-4dae-a298-1afecbeb0529,1.92,unsure,该文献属于口腔颌面外科范畴，涉及3D虚拟手术规划与AR导航，但摘要未明确说明是否使用了非牙科专用3D软件（如3D Slicer、Mimics等）进行数据处理或建模，信息不足，需全文复核。,无,无,无
12,Identifying teeth and tooth fragments from digital 3D models.,Dental anatomy is an essential skill for human identification in forensic odontology. With the adven,2026-09-10 20:36:28,deepseek-flash,4c6c0a63-1581-426c-9034-8f4970be8708,1.2,unsure,该文献属于法医口腔学范畴，涉及3D扫描数字模型，但摘要未明确说明使用了何种3D软件，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
13,Convolutional mesh autoencoders for the 3-dimensional identification of FGFR-related craniosynostosis.,Clinical diagnosis of craniofacial anomalies requires expert knowledge. Recent studies have shown th,2026-09-10 20:36:28,deepseek-flash,28aca28e-e989-4f48-a05b-e9c20ed8fe0c,1.23,unsure,该文献属于口腔颌面（颅面）医学范畴，涉及3D形态分析，但摘要未明确说明是否使用了非牙科专用3D软件（如3D Slicer、Mimics、Blender等），信息不足，需全文复核。,无,无,无
