file,match_idx,score,matched,_idx,Title_clean,Key,AI分类,在最终613,是否最终613
08869634.2021.1894860.pdf.pdf,,0.0,False,,,,,False,False
0954411920944109.pdf.pdf,,0.0,False,,,,,False,False
09544119211022985.pdf.pdf,,0.0,False,,,,,False,False
1.pdf-1.pdf,,0.0,False,,,,,False,False
1.pdf-2.pdf,,0.0,False,,,,,False,False
1.pdf-3.pdf,,0.0,False,,,,,False,False
1.pdf.pdf,62.0,100.0,True,62.0,Scanning Accuracy of 10 Intraoral Scanners for Single-crown and Three-unit Fixed Denture Preparations: An In Vitro Study.,SCPVCH8P,exclude,True,True
11206721211013653.pdf.pdf,,0.0,False,,,,,False,False
13102818.2021.1905063.pdf.pdf,,0.0,False,,,,,False,False
1361-6560%252Fab9c64.pdf.pdf,,0.0,False,,,,,False,False
2021 - Novel 3D segmentation for reliable volumetric assessment of the nasal airway a CBCT study.pdf,2087.0,100.0,True,2087.0,Novel 3D segmentation for reliable volumetric assessment of the nasal airway: a CBCT study,Z4PR8PUL,include,True,True
2021 - Workflow of digitally guided direct composite resin restorations using open source software and 3D p.pdf,2219.0,100.0,True,2219.0,Workflow of digitally guided direct composite resin restorations using open source software and 3D printing: a clinical technique,AZCWGFVM,include,True,True
2023 - Comparison of load bearing capacity of ceramic crowns with zirconia or polyetherketoneketone framewo.pdf,378.0,100.0,True,378.0,Comparison of load bearing capacity of ceramic crowns with zirconia or polyetherketoneketone frameworks.,6XR3HJFC,exclude,False,False
2023 - Zirconia CADCAM machining vibrations related to zirconia blank shape and initial digital nesting.pdf,482.0,100.0,True,482.0,Zirconia CAD/CAM machining vibrations related to zirconia blank shape and initial digital nesting.,EKHK6Z2C,exclude,False,False
2024 - Accuracy of imaging software usable in clinical settings for 3D rendering of tooth structures.pdf,37.0,100.0,True,37.0,Accuracy of imaging software usable in clinical settings for 3D rendering of tooth structures.,TGY9GAAH,include,True,True
2024 - An integration protocol for aligning intraoral scans to facial scans using the nasal geometry refere.pdf,450.0,100.0,True,450.0,An integration protocol for aligning intraoral scans to facial scans using the nasal geometry reference in a fully dentate patient.,3PAYNYFP,include,True,True
2024 - Designing an occlusal appliance digital protocol using an open-source 3D modeling software program.pdf,209.0,100.0,True,209.0,Designing an occlusal appliance digital protocol using an open-source 3D modeling software program: a technical report.,XMP5NQCB,include,True,True
2024 - Enhancing Maxillofacial Surgery 3D-Printed Models from CT Scans for Improved Surgical Planning.pdf,2296.0,100.0,True,2296.0,Enhancing Maxillofacial Surgery: 3D-Printed Models from CT Scans for Improved Surgical Planning,LFFHBJQR,unsure,False,False
2024 - Establishment and evaluation of a 3D quantitative analysis method for dental plaque based on an intr.pdf,2152.0,100.0,True,2152.0,Establishment and evaluation of a 3D quantitative analysis method for dental plaque based on an intraoral scanner technique,HQTBY7E3,include,True,True
2025 - Clinical efficacy of early intervention timing for inversely impacted maxillary central incisors.pdf,1754.0,100.0,True,1754.0,Clinical efficacy of early intervention timing for inversely impacted maxillary central incisors,UYKQ4QIQ,include,False,False
2025 - Geometric Fidelity of Magnetic Resonance Imaging and Computed Tomography-Derived Virtual 3D Models o.pdf,1845.0,100.0,True,1845.0,Geometric Fidelity of Magnetic Resonance Imaging and Computed Tomography-Derived Virtual 3D Models of Porcine Cadaver Mandibles: Conventional Versus Artificial Intelligence-Based Segmentation,V3VSUWJ5,include,True,True
2025 - Patient-specific gingival recession system based on periodontal disease prediction.pdf,243.0,100.0,True,243.0,Patient-specific gingival recession system based on periodontal disease prediction.,VXPM8E6R,unsure,False,False
2025 - Zirconia endocrown with intracanal extension and zirconia posts on maxillary molars in silico study.pdf,1374.0,92.5,True,1374.0,Zirconia endocrown with intracanal extension and zi posts on maxillary molars: in silico study,KY63Y6R9,include,False,False
2041-210x.13689.pdf.pdf,,0.0,False,,,,,False,False
20543581211018528.pdf.pdf,,0.0,False,,,,,False,False
5.0024177.pdf.pdf,,0.0,False,,,,,False,False
Abazi 等 - 2025 - Postoperative assessment of forehead contouring in facial feminization surgery.pdf,1010.0,100.0,True,1010.0,Postoperative assessment of forehead contouring in facial feminization surgery,K7WRBECT,unsure,True,True
Abbate 等 - 2025 - Text-Guided Inpainting for Aesthetic Prediction in Orthofacial Surgery A Patient-Centered AI Approa.pdf,558.0,100.0,True,558.0,Text-Guided Inpainting for Aesthetic Prediction in Orthofacial Surgery: A Patient-Centered AI Approach.,DDDBP7D4,exclude,False,False
Abdelhamid 等 - 2025 - Accuracy Assessment of Customized Titanium Plates Compared to 3D-Printed Splints in Le Fort I Osteot.pdf,518.0,100.0,True,518.0,Accuracy Assessment of Customized Titanium Plates Compared to 3D-Printed Splints in Le Fort I Osteotomy: A Randomized Clinical Trial Evaluating Clinical and Radiographic Outcomes.,W692WAXG,include,True,True
Abdelrehim 等 - 2025 - Time efficiency and precision of splinted complete arch implant scanning.pdf,1957.0,100.0,True,1957.0,Time efficiency and precision of splinted complete arch implant scanning,TTKVIR7E,exclude,True,True
