_nt,Title,期刊,Item Type,流程原因,命中软件,判定,理由,原始返回
a comparative study on the effectiveness of augmented reality on denture tooth selection,A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection.,The European journal of prosthodontics and restorative dentistry,journalArticle,No non-dental 3D software identified,MeshLab; meshlab,E1,该研究为口腔修复学原创研究，全文方法部分明确使用非牙科3D软件 MeshLab 进行牙齿3D扫描数据处理以构建虚拟牙齿库。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文方法部分明确使用非牙科3D软件 MeshLab 进行牙齿3D扫描数据处理以构建虚拟牙齿库。"
an open source three dimensional growth model of the mandible,"An open-source, three-dimensional growth model of the mandible.",Computers in biology and medicine,journalArticle,No non-dental 3D software identified,Brainlab; MATLAB; Meshmixer,E1,该研究属口腔颌面/法医口腔领域，全文明确使用非牙科3D软件 Meshmixer 进行下颌骨模型处理（去除牙区），且为原创研究、英文、2020年后发表，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面/法医口腔领域，全文明确使用非牙科3D软件 Meshmixer 进行下颌骨模型处理（去除牙区），且为原创研究、英文、2020年后发表，符合全部纳入标准。"
evaluation of an ai based segmentation model for mandibular fracture segmentation on cbct using volumetric and 2d slice based validation approaches,Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volumetric and 2D slice-based validation approaches.,BMC oral health,journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究属口腔颌面放射/颌面外科原创研究，全文明确说明作者使用非牙科专用软件 3D Slicer（Slicer 5.8.0）对CBCT下颌骨骨折进行手动分割标注，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射/颌面外科原创研究，全文明确说明作者使用非牙科专用软件 3D Slicer（Slicer 5.8.0）对CBCT下颌骨骨折进行手动分割标注，符合纳入标准。"
biomechanical evaluation of framework materials in all on four versus all on six prostheses a finite element study,Biomechanical Evaluation of Framework Materials in All-on-Four Versus All-on-Six Prostheses: A Finite Element Study.,Clinical and experimental dental research,journalArticle,No non-dental 3D software identified,Abaqus; Geomagic Design X; MIMICS; SolidWorks,E1,该研究为口腔种植领域的有限元原创研究，全文明确使用MIMICS、Geomagic Design X、SolidWorks、Abaqus等非牙科专用3D软件进行建模与分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域的有限元原创研究，全文明确使用MIMICS、Geomagic Design X、SolidWorks、Abaqus等非牙科专用3D软件进行建模与分析。"
redefining mri based skull segmentation through ai driven multimodal integration,Redefining MRI-Based Skull Segmentation Through AI-Driven Multimodal Integration.,Journal of imaging,journalArticle,Outside the scope of dentistry,Mimics,E1,该研究属口腔颌面外科规划主题，全文明确将CT图像导入Mimics Innovation Suite进行半自动颅骨分割与配准，属自身使用非牙科3D软件，且为原创研究、英文、2025年发表。,"【判定】: E1
【理由】: 该研究属口腔颌面外科规划主题，全文明确将CT图像导入Mimics Innovation Suite进行半自动颅骨分割与配准，属自身使用非牙科3D软件，且为原创研究、英文、2025年发表。"
accuracy of static computer assisted implant placement in posterior edentulous areas with different levels of tooth support by novice clinicians,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,The European journal of prosthodontics and restorative dentistry,journalArticle,No non-dental 3D software identified,Geomagic,E1,该原创研究在口腔种植领域自身使用非牙科3D软件 Geomagic Control X 进行模型叠加与偏差测量，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔种植领域自身使用非牙科3D软件 Geomagic Control X 进行模型叠加与偏差测量，符合全部纳入标准。"
digital duplication of maxillary complete denture a dental technique,Digital duplication of maxillary complete denture: A dental technique.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],journalArticle,No non-dental 3D software identified,3D Slicer; 3D slicer,E1,该技术说明属于口腔修复学原创技术，且全文明确使用非牙科专用软件3D Slicer 4.10.2对CBCT的DICOM文件进行分割建模。,"【判定】: E1
【理由】: 该技术说明属于口腔修复学原创技术，且全文明确使用非牙科专用软件3D Slicer 4.10.2对CBCT的DICOM文件进行分割建模。"
mechanotherapeutic modulation of the nasal microenvironment rampa induced maxillofacial remodeling and its pathophysiological impact on mucus rheology and chronic inflammation,Mechanotherapeutic Modulation of the Nasal Microenvironment: RAMPA-Induced Maxillofacial Remodeling and Its Pathophysiological Impact on Mucus Rheology and  Chronic Inflammation.,"Bioengineering (Basel, Switzerland)",journalArticle,Outside the scope of dentistry,ANSYS; Ansys; Mimics,E1,该原创研究在正畸/颌面领域自身使用了非牙科专用软件 ANSYS Workbench 进行有限元分析、Mimics 进行CBCT三维重建与体积量化，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在正畸/颌面领域自身使用了非牙科专用软件 ANSYS Workbench 进行有限元分析、Mimics 进行CBCT三维重建与体积量化，符合全部纳入标准。"
tcfnet bidirectional face bone transformation via a transformer based coarse to fine point movement network,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,Medical image analysis,journalArticle,Outside the scope of dentistry,MeshLab,E1,该研究属正颌外科（口腔医学）领域，且全文明确说明其预处理/后处理依赖 MeshLab（非牙科专用3D软件）进行3D数据处理，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属正颌外科（口腔医学）领域，且全文明确说明其预处理/后处理依赖 MeshLab（非牙科专用3D软件）进行3D数据处理，为原创研究，符合全部纳入标准。"
the effect of different tooth preparation finishing procedures and immediate dentin sealing on the scanning accuracy of different intraoral scanners,The effect of different tooth preparation finishing procedures and immediate dentin sealing on the scanning accuracy of different intraoral scanners.,Journal of dentistry,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control X,E1,该研究为牙科修复领域的原创研究，全文明确使用非牙科专用逆向工程软件 Geomagic Control X 进行扫描数据对齐与RMS误差分析。,"【判定】: E1
【理由】: 该研究为牙科修复领域的原创研究，全文明确使用非牙科专用逆向工程软件 Geomagic Control X 进行扫描数据对齐与RMS误差分析。"
