原始名称,规范名称,类别,原始开发领域,开发商,来源URL,URL状态,研究数
Mimics,Mimics,MIP,Medical image processing,Materialise,https://www.materialise.com/en/medical/mimics-innovation-suite/mimics,200,156
3D Slicer,3D Slicer,MIP,Medical image processing / academic,Slicer Community (BWH/Harvard),https://www.slicer.org,200,143
Slicer,3D Slicer,MIP,Medical image processing / academic,Slicer Community (BWH/Harvard),https://www.slicer.org,200,143
Meshmixer,Meshmixer,GEN3D,General-purpose 3D modeling,Autodesk,https://meshmixer.com,200,89
Geomagic Control X,Geomagic Control X,RE,Reverse engineering & metrology,3D Systems,https://www.3dsystems.com/software/geomagic-control-x,403,87
Geomagic Control,Geomagic Control X,RE,Reverse engineering & metrology,3D Systems,https://www.3dsystems.com/software/geomagic-control-x,403,87
ANSYS,ANSYS,SIM,Engineering simulation (FEA/CFD),"ANSYS, Inc.",https://www.ansys.com,200,77
Blender,Blender,GEN3D,General-purpose 3D modeling / animation,Blender Foundation,https://www.blender.org,200,57
SolidWorks,SolidWorks,CAD,Engineering CAD,Dassault Systemes,https://www.solidworks.com,ERR:HTTPSConnectionPool(host='www.,56
3-Matic,3-Matic,MIP,Medical image processing / design (Materialise),Materialise,https://www.materialise.com/en/medical/software/3-matic,200,55
GOM Inspect,GOM Inspect,RE,Industrial metrology / 3D inspection,GOM GmbH (Zeiss),https://www.gom.com,200,53
Rhinoceros,Rhinoceros,GEN3D,General-purpose 3D NURBS modeling,Robert McNeel & Associates,https://www.rhino3d.com,ERR:HTTPSConnectionPool(host='www.,38
ITK-SNAP,ITK-SNAP,MIP,Medical image processing / academic,ITK-SNAP (Univ. of Pennsylvania),https://www.itksnap.org,ERR:HTTPSConnectionPool(host='www.,37
Geomagic Wrap,Geomagic Wrap,RE,Reverse engineering & metrology,3D Systems,https://www.3dsystems.com/software/geomagic-wrap,403,35
Geomagic Studio,Geomagic Studio,RE,Reverse engineering & metrology (legacy),3D Systems,https://www.3dsystems.com/software,200,35
MeshLab,MeshLab,GEN3D,Mesh processing (open source),ISTI-CNR,https://www.meshlab.net,200,33
ABAQUS,ABAQUS,SIM,Engineering simulation (FEA),Dassault Systemes (SIMULIA),https://www.3ds.com/products/simulia/abaqus,200,29
Geomagic Design X,Geomagic Design X,RE,Reverse engineering,3D Systems,https://www.3dsystems.com/software/geomagic-design-x,403,23
CloudCompare,CloudCompare,RE,Point-cloud / 3D processing (open source),CloudCompare / EDF R&D,https://www.cloudcompare.org,403,23
HyperMesh,HyperMesh,SIM,Engineering simulation pre-/post-processing,Altair,https://altair.com/hypermesh,200,22
Magics,Magics,AM,Additive manufacturing data preparation,Materialise,https://www.materialise.com/en/industrial/software/magics,404,20
Geomagic (unspecified),Geomagic (unspecified),RE,Geomagic product family (specific module not specified in full text),3D Systems,https://www.3dsystems.com/software,200,17
