软件,研究数
Mimics,156
3D Slicer,143
Meshmixer,89
Geomagic Control X,87
ANSYS,77
Blender,57
SolidWorks,56
3-Matic,55
GOM Inspect,53
Rhinoceros,38
ITK-SNAP,37
Geomagic Wrap,35
Geomagic Studio,34
MeshLab,33
ABAQUS,29
Geomagic Design X,23
CloudCompare,23
HyperMesh,22
Magics,19
Geomagic (unspecified),17
InVesalius,15
SpaceClaim,14
ANSYS Workbench,14
MATLAB,14
Fusion 360,10
CATIA,10
Avizo,9
Inventor,9
VRMesh,9
ImageJ,9
Siemens NX (UG),8
3D-DOCTOR,8
AutoCAD,8
ZBrush,7
Brainlab,7
ALGOR,7
Amira,6
Solid Edge,5
Unity,5
COMSOL Multiphysics,5
Simpleware,4
Geomagic Freeform,4
MeViSLab,4
Geomagic Qualify,4
VGStudio MAX,4
Creo,4
RadiAnt DICOM Viewer,3
OsiriX,3
Cura,3
PolyWorks,3
LS-DYNA,3
Elements,3
ALTAIR OptiStruct,3
Freeform Plus,3
Final Surface,2
Netfabb,2
MITK,2
PowerShape,2
nTop,2
Horos,2
Dragonfly,2
RapidForm,2
Python,2
Geomagic Verify,2
Meshroom,1
HyperWorks,1
Cam HyperMill,1
Marc,1
ANSYS Polyflow,1
Tinkercad,1
MOI,1
Cliniface,1
Artisynth,1
Scalismo Lab,1
Vectary,1
Reality Composer,1
PrusaSlicer,1
Simplify3D,1
Midas,1
R2 Gate,1
Polycam,1
Calypso,1
SculptGL,1
ImFusion,1
KIRI Engine,1
Scaniverse,1
PATRAN,1
Unreal Engine,1
CreatWare,1
Digimizer,1
Artec Studio,1
Viewbox 4,1
ATOS Professional,1
Analyze,1
ScanIP,1
Z88,1
Iso2mesh,1
Octave,1
Onshape,1
Keras,1
TensorFlow,1
Open3D,1
CMF,1
Volume Graphics StudioMax,1
Trimesh,1
FreeCAD,1
iPlan Navigator,1
Mechanical,1
DesignModeler),1
Materialise,1
Studio 12,1
Hyper Cad S,1
iPlan,1
TRI/3D-BON-FCS64,1
Mixed Reality Viewer,1
iplan CMF,1
3D software,1
