_nt,Key,Title
tomographic similarity scan with a computed modified absolute mandibular midsagittal plane for precise and objective localization of mandibular asymmetry,5EV82UG8,Tomographic similarity scan with a computed modified absolute mandibular midsagittal plane for precise and objective localization of mandibular asymmetry
computer assisted bone augmentation implant planning and placement an in vitro investigation,XFVSNR6Q,"Computer-assisted bone augmentation, implant planning and placement: An in vitro investigation"
in vivo trueness and precision of full arch implant scans using intraoral scanners with three different acquisition protocols,RB2EMABN,In vivo trueness and precision of full-arch implant scans using intraoral scanners with three different acquisition protocols
does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement a human cadaver study,EB4NSAMK,Does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement?: A human cadaver study.
traditional 2d and 3d workflows what is better for aesthetic rehabilitation of superior anterior teeth,WJH5GAGS,"Traditional, 2D and 3D Workflows: What Is Better for Aesthetic Rehabilitation of Superior Anterior Teeth?"
three dimensional evaluation of the effects of bionator and forsus appliances on oropharyngeal airway volume in patients with mandibular retrognathia,29Y6WKV5,Three-dimensional evaluation of the effects of Bionator and Forsus appliances on oropharyngeal airway volume in patients with mandibular retrognathia
layered deep learning for automatic mandibular segmentation in cone beam computed tomography,A9DPU6MJ,Layered deep learning for automatic mandibular segmentation in cone-beam computed tomography
accuracy of single implant scans with a combined healing abutment scan body system and different intraoral scanners an in vitro study,8KHY7GJA,Accuracy of single implant scans with a combined healing abutment-scan body system and different intraoral scanners: An in vitro study.
geometric accuracy of magnetic resonance imaging derived virtual 3 dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography a porcine cadaver study,4SXNSXGG,Geometric accuracy of magnetic resonance imaging-derived virtual 3-dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography: A porcine cadaver study
micro ct analysis of marginal and internal fit of milled and pressed polyetheretherketone single crowns,SV83KBN8,Micro-CT analysis of marginal and internal fit of milled and pressed polyetheretherketone single crowns
application of a virtual and mixed reality navigation system using commercially available devices to the lateral temporal bone resection,3NRBHY63,Application of a virtual and mixed reality-navigation system using commercially available devices to the lateral temporal bone resection.
comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fabricated with peek framework when implants placed in all on 4 and all on 6 situation by strain gauge analysis and finite element analysis an in vitro study,3IABES8D,"Comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fabricated with peek framework when implants placed in all-on-4  and all-on-6 situation, by strain gauge analysis and finite element analysis - An  in vitro study."
a novel method of 3d printing locating guide for abutment screw removal in cement retained implant supported prostheses,ZFERNRSM,A novel method of 3D printing locating guide for abutment screw removal in cement- retained implant-supported prostheses
three dimensional volumetric evaluation of dental pulp cavity tooth ratio in anterior open bite malocclusion using cone beam computed tomography,MKQJRINH,Three-dimensional volumetric evaluation of dental pulp cavity/tooth ratio in anterior open bite malocclusion using cone beam computed tomography
development and biomechanical evaluation of subject specific anatomically complete 3d finite element models of the temporomandibular joint using the four finger mouth opening test,F4LRK4QN,"Development and biomechanical evaluation of subject-specific, anatomically complete 3D finite element models of the temporomandibular joint using the four-finger mouth-opening test"
measured accuracy of intraoral scanners is highly dependent on methodical factors,EP3KFPLS,Measured accuracy of intraoral scanners is highly dependent on methodical factors.
an integrated hollow bulb obturator prosthesis with a metal framework for a soft palate defect fabricated by multiple digital techniques,J4KXNK2R,An integrated hollow bulb obturator prosthesis with a metal framework for a soft palate defect fabricated by multiple digital techniques
morphological changes of the root apex in anterior teeth with periapical periodontitis an in vivo study,HVIZBRYA,Morphological changes of the root apex in anterior teeth with periapical periodontitis: an in-vivo study
unveiling software limitations in the assessment of the minimum sectional area and volume in cleft lip and palate patients,A4YJJ2FI,Unveiling Software Limitations in the Assessment of the Minimum Sectional Area and Volume in Cleft LIP and Palate Patients
a comparison of full arch trueness and precision of nine intra oral digital scanners and four lab digital scanners,HTUE3J8F,A Comparison of Full Arch Trueness and Precision of Nine Intra-Oral Digital Scanners and Four Lab Digital Scanners.
in silico mechanical effort analysis of the all on 4 design performed with platform switching distal short dental implants,MAV6QNXN,In Silico Mechanical Effort Analysis of the All-On-4 Design Performed With Platform-Switching Distal Short Dental Implants
assessment of the stresses produced on the bone implant tissue interface to the different insertion angulations of the implant a three dimensional analysis by the finite elements method,AQ37V5WT,Assessment of the stresses produced on the bone implant/tissue interface to the different insertion angulations of the implant - a three-dimensional analysis by  the finite elements method.
how to predict the future face a 3d methodology to forecast the aspect of patients after orthognathic surgeries,LER47S6U,How to predict the future face? A 3D methodology to forecast the aspect of patients after orthognathic surgeries
application of real time augmented reality guided osteotomy and apex location in endodontic microsurgery a surgical simulation study based on 3d printed alveolar bone model,ZGJZZYG7,Application of Real-time Augmented Reality-guided Osteotomy and Apex Location in Endodontic Microsurgery: A Surgical Simulation Study Based on 3D-printed Alveolar Bone Model
comparison between experimental digital image processing and numerical methods for stress analysis in dental implants with different restorative materials,7S2EB8EK,Comparison between experimental digital image processing and numerical methods for stress analysis in dental implants with different restorative materials
retentive design of a small surgical guide for implant surgery an in vitro study,B88UY5CW,Retentive design of a small surgical guide for implant surgery: An in-vitro study
a deep learning framework for automated dental segmentation and diagnostic report generation from cone beam computed tomography,4BR99TM2,A deep learning framework for automated dental segmentation and diagnostic report generation from cone-beam computed tomography
mechanical response of different frameworks for maxillary all on four implant supported fixed dental prosthesis 3d finite element analysis,3DRR3UYA,Mechanical response of different frameworks for maxillary all-on-four implant-supported fixed dental prosthesis: 3D finite element analysis
identifying teeth and tooth fragments from digital 3d models,26QMLGSA,Identifying teeth and tooth fragments from digital 3D models.
influence of framework material on stress fatigue and stability of all on four system components biomechanical evaluation with finite element analysis,5LFW4IMR,"Influence of Framework Material on Stress, Fatigue, and Stability of “All-on-Four” System Components-Biomechanical Evaluation with Finite Element Analysis"
fea comparison of the mechanical behavior of three dental crown materials enamel ceramic and zirconia,DJZMFHEI,"FEA Comparison of the Mechanical Behavior of Three Dental Crown Materials: Enamel, Ceramic, and Zirconia"
enhancing panoramic dental imaging with ai driven arch surface fitting achieving improved clarity and accuracy through an optimal reconstruction zone,K24ZBIB8,Enhancing panoramic dental imaging with AI-driven arch surface fitting: achieving improved clarity and accuracy through an optimal reconstruction zone
biomechanical optimization of the human bite using numerical analysis based on the finite element method,DV2DXAL4,Biomechanical Optimization of the Human Bite Using Numerical Analysis Based on the Finite Element Method
optimization of petg 3d printing parameters for the design and development of biocompatible bone implants,5PW99INS,Optimization of PETG 3D printing parameters for the design and development of biocompatible bone implants
microrobotics for precision biofilm diagnostics and treatment,ZGJK5PD2,Microrobotics for Precision Biofilm Diagnostics and Treatment
automated artificial intelligence based three dimensional comparison of orthodontic treatment outcomes with and without piezocision surgery,KDE2M5D3,Automated artificial intelligence-based three-dimensional comparison of orthodontic treatment outcomes with and without piezocision surgery
evaluation of the stability of the palatal rugae using the three dimensional orthodontic treatment,IUQMK852,Evaluation of the stability of the palatal rugae using the three-dimensional orthodontic treatment
segmentation of cemento osseous dysplasias using an artificial intelligence algorithm,ILAFRFCN,Segmentation of Cemento-Osseous Dysplasias Using an Artificial Intelligence Algorithm
accelerated denture base festooning using a free 3d modeling computer program a dental technique,SA3TBA8Z,Accelerated denture base festooning using a free 3D modeling computer program: A dental technique
best fit algorithm influences on virtual casts alignment discrepancies,VQI8ZHBV,Best-Fit Algorithm Influences on Virtual Casts' Alignment Discrepancies.
an open source three dimensional growth model of the mandible,CLHU5JFE,"An open-source, three-dimensional growth model of the mandible."
workflow for guided implant placement based on anatomic landmarks and the cad cam fabrication of a prosthetic framework for an implant supported fixed dental prosthesis,YWYMMHNG,Workflow for guided implant placement based on anatomic landmarks and the CAD-CAM fabrication of a prosthetic framework for an implant-supported fixed dental prosthesis
biomechanical evaluation of customized root implants in alveolar bone a comparative study with traditional implants and natural teeth,4JY485Q3,Biomechanical evaluation of customized root implants in alveolar bone: A comparative study with traditional implants and natural teeth
influence of splinting scan bodies or incorporating three dimensionally printed scan aids on the trueness of complete arch digital scans,YCBI9HI4,Influence of splinting scan bodies or incorporating three-dimensionally printed scan aids on the trueness of complete arch digital scans.
mechanotherapeutic modulation of the nasal microenvironment rampa induced maxillofacial remodeling and its pathophysiological impact on mucus rheology and chronic inflammation,HHXKMFE3,Mechanotherapeutic Modulation of the Nasal Microenvironment: RAMPA-Induced Maxillofacial Remodeling and Its Pathophysiological Impact on Mucus Rheology and  Chronic Inflammation.
effect of different restorative materials on stress distribution around dental implants,RSUECYHG,Effect of Different Restorative Materials on Stress Distribution around Dental Implants.
accuracy of registration between digitized extraoral scan bodies and virtual casts effect of the edentulous area tooth anatomy and registration method,J2RIBVBJ,"Accuracy of registration between digitized extraoral scan bodies and virtual casts: Effect of the edentulous area, tooth anatomy, and registration method"
effect of crestal position on bone implant stress interface of three implant splinted prostheses a finite element analysis,RLTJ6JCJ,Effect of Crestal Position on Bone-Implant Stress Interface of Three-Implant Splinted Prostheses: A Finite Element Analysis
fully digital workflow for an immediate implant retained prosthesis following maxillectomy resection surgery,9HL5KCJ3,Fully Digital Workflow for an Immediate Implant-Retained Prosthesis Following Maxillectomy Resection Surgery
bioprinting on 3d printed titanium scaffolds for periodontal ligament regeneration,U4EFVD3N,Bioprinting on 3D Printed Titanium Scaffolds for Periodontal Ligament Regeneration
robot assisted augmented reality navigation for osteotomy and personalized guide plate in mandibular reconstruction a preclinical study,WVD49PF9,Robot-assisted augmented reality navigation for osteotomy and personalized guide-plate in mandibular reconstruction: a preclinical study
accuracy of digital impressions obtained using six intraoral scanners in partially edentulous dentitions and the effect of scanning sequence,Z5PYCCYC,Accuracy of Digital Impressions Obtained Using Six Intraoral Scanners in Partially Edentulous Dentitions and the Effect of Scanning Sequence
bounti boundary preserving threshold iteration a user friendly tool for automatic hard tissue segmentation,T5FJEIPG,BounTI (boundary-preserving threshold iteration): A user-friendly tool for automatic hard tissue segmentation.
comparing the trueness of 3d printing and conventional casting for the fabrication of removable partial denture metal frameworks for patients with different palatal vault depths an in vitro study,I5J9AXNU,Comparing the trueness of 3D printing and conventional casting for the fabrication of removable partial denture metal frameworks for patients with different palatal vault depths: An in vitro study
skeletal facial asymmetry reliability of manual and artificial intelligence driven analysis,RFPYNGAN,Skeletal facial asymmetry: reliability of manual and artificial intelligence-driven analysis
accuracy of implant placement position using nondental open source software an in vitro study,9CLL4MDW,Accuracy of Implant Placement Position Using Nondental Open-Source Software: An In Vitro Study.
mixed reality as a digital visualisation solution for the head and neck tumour board application creation and implementation study,TY5VT4UV,Mixed Reality as a Digital Visualisation Solution for the Head and Neck Tumour Board: Application Creation and Implementation Study
efficacy of a virtual 3d simulation based digital training module for building dental technology students longterm competency in removable partial denture design prospective cohort study,IAAA5PCM,Efficacy of a Virtual 3D Simulation-Based Digital Training Module for Building Dental Technology Students' LongTerm Competency in Removable Partial Denture Design: Prospective Cohort Study
a customised 3d u net model for bifid mandibular canal segmentation and detection on cbct a diagnostic accuracy study,567Q4TW9,A customised 3D U-Net model for bifid mandibular canal segmentation and detection on CBCT: a diagnostic accuracy study
accuracy trueness and precision of a dual structured light facial scanner and interexaminer reliability,MIEBLJ9Y,Accuracy (trueness and precision) of a dual-structured light facial scanner and interexaminer reliability
augmented reality navigation in craniomaxillofacial head and neck surgery,XSN8NLIH,Augmented Reality Navigation in Craniomaxillofacial/Head and Neck Surgery.
automated dental landmarks recognition in special models via neural network,3C3LWSIA,Automated Dental Landmarks Recognition in Special Models via Neural Network
an innovative additively manufactured implant for mandibular injuries design and preparation processes based on simulation model,3UIJFW4V,An innovative additively manufactured implant for mandibular injuries: Design and preparation processes based on simulation model.
tooth rotational control with varying attachment configurations in clear aligners under compromised periodontal ligament support a finite element study,34MP4QBJ,Tooth rotational control with varying attachment configurations in clear aligners under compromised periodontal ligament support: a finite element study
accuracy of implant abutment level digital impressions using stereophotogrammetry in edentulous jaws an in vitro pilot study,CM7FEBXL,Accuracy of implant abutment level digital impressions using stereophotogrammetry in edentulous jaws: an in vitro pilot study
investigation of conventional vs nonoriginal cad cam bars with production stage differences an in vitro precision study using a novel technique,42EI79XL,Investigation of Conventional vs Nonoriginal CAD/CAM Bars with Production Stage Differences: An In Vitro Precision Study Using a Novel Technique
a digital workflow for the fabrication of a milled removable partial denture,2REVVA6Z,A Digital Workflow for the Fabrication of a Milled Removable Partial Denture
