样本,编号,Key,标题,原流程排除原因,复核证据等级,复核结论,复核所见非牙科3D软件,关键依据（原文片段）,复核理由,复核方式
A 排除抽样,1,P5U2KFAM,Increased deformations are dispensable for cell mechanoresponse in engineered bone analogs mimicking aging bone marrow.,不属于口腔医学范畴,全文,维持排除,Meshmixer、HyperMesh、ABAQUS、MATLAB、MSC,"MATLAB :: ion data was fitted 160 using a 2-term exponential decay function [f(x) = aebx + cedx] representing viscoelastic material relaxation. 161 Next, instantaneous force and displacement data was collected during 20% compression at a rate of 10.8 162 mm/s (Fig.2c). Compression data was entered into MATLAB, converted to engineering stress and 163 engineering strain, and then fit using a 5th order polynomial [f(x) = ax5 + bx4 + cx3 + dx2 + ex +f] representing 164 the instantaneous material behavior. Stress-strain curves for the calibration and HA gels are provided in 165 Suppleme",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,2,9W9E5HVY,Toothsegnet: Image Degradation Meets Tooth Segmentation in CBCT Images,未使用非牙科专用3D软件,全文,维持排除,,,通读全文未检出任何具名的非牙科 3D 软件；文中三维处理由牙科专用软件、设备随附软件或未具名流程完成，不满足“具名非牙科软件”这一纳入要件，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,3,QVUWC6BB,"Open-source, 3D printable IOL holder for detailed, smartphone-based anterior segment photography",不属于口腔医学范畴,全文,维持排除,,,研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,4,9RG8ZHBS,A Novel Artificial Intelligence-Based Approach for Quantitative Assessment of Angiogenesis in the Ex Ovo CAM Model,不属于口腔医学范畴,全文,维持排除,ImageJ,"ImageJ :: easurement technique to compare the results. 2.3.1. Manual Analysis The manual analysis of the vascular network of CAMs is very time-consuming, es- pecially for larger sample sizes. Furthermore, the manual analysis is prone to human error and bias. We performed the manual analysis with the Software ImageJ (National Institutes of Health, Bethesda, MD, USA). It is possible to count the branching points of the vasculature with the ‘Multi-point Tool’. Furthermore, the mean vessel thickness can be evaluated by measuring a random sample of vessels with the straight-line selection tool. Our",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,5,69LQ9WZ4,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,未使用非牙科专用3D软件,全文,纠正为纳入,Geomagic,"Geomagic :: posed against each surgical model with the placed implants to determine the differences between the implants. The teeth of the models were used as landmarks for the initial superimposi­ tion, which was followed by automated best fit alignment of the models by a 3-dimensional rendering software (Geomagic Control X, Raindrop, Geomagic Inc., Research Triangle Park, NC, United States). To ensure consistency, similar set of teeth were used for every superimposition step (facial cusp tips of canines and 2nd premolars). Subsequently, the placed implants were compared against the",全文方法与结果部分可确证该研究实际调用了非牙科专用 3D 软件（Geomagic），用于三维数据的分割、建模、配准或力学分析。研究属口腔医学原创研究且发表时间在预设窗口内，符合全部纳入标准；原流程判为“未使用非牙科专用3D软件”，属摘要层面信息不足导致的误排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,6,HVBNRLAV,Effective removal of Pb2+ from oral medical wastewater via an activated three-dimensional framework carbon (3D AFC),不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,7,MZW42EWD,Growth allometry and dental topography in Upper Triassic conodonts support trophic differentiation and molar-like element function,不属于口腔医学范畴,全文,维持排除,MeshLab、Analyze、Avizo、Amira,"Amira :: ed in Milan and Padua (Department of Geosciences, Uni- versity of Padua). Methods Scanning.—The specimens were scanned with a resolution of 1 μm using a microtomo- graph Nanotom S (General Electric) with the AniRA-ImmOs platform (SFR Biosciences, UMS 3444), Ecole Normale Supérieure de Lyon, France. Amira software was used for the 3D reconstruction (Guenser et al. 2019; Fig. 2). The meshes are available on Morpho- Bank: http://morphobank.org/permalink/? P4048. Growth Allometry.—The length of the elem- ent was used as a proxy for the size of the cono- dont animal, as was done in previou",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,8,5BZNI5MC,Leveraging solid solubility and miscibility of etoricoxib in Soluplus? towards manufacturing of 3D printed etoricoxib tablets by additive manufacturing,不属于口腔医学范畴,全文,维持排除,SolidWorks、Analyze、Slicer,"Analyze :: metically. As a reference, an empty aluminium pan was used. The inert atmosphere was nitrogen gas flowing at a rate of 20.0 mL/min. Heating was done for the thermal analysis at a rate of 10 ◦C per minute, starting at room temperature and working up to 250 ◦C. The STARe software was utilized to analyze the heat of fusion (ΔHf) in J/g and the peak temperature. 2.2.3. Drug–Polymer miscibility prediction To accurately depict the miscibility of the drug and polymer, χ can be derived by F-H (Flory Huggins) calculations (Table 1). This is because a single-unit system formed by the d",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,9,S22NI99I,The impact of mixed reality training method on novice trainees of dental implants: an in vitro study,未使用非牙科专用3D软件,全文,纠正为纳入,Geomagic Control、Geomagic、Analyze,"Geomagic Control :: ative and postop­ erative 3D models were aligned by manually selecting the crown and other nonshiftable features in the models in cooperation with the global ICP algorithm. The rela­ tive position between implant placement and planned implant location was subsequently observed via the soft­ ware Geomagic Control. The placed implant location was determined in reverse order according to scan rod information and coordinates of both placed and planned implants were extracted. The positional deviation of the plan and actual implants was calculated, including plat­ form po",全文方法与结果部分可确证该研究实际调用了非牙科专用 3D 软件（Geomagic Control、Geomagic、Analyze），用于三维数据的分割、建模、配准或力学分析。研究属口腔医学原创研究且发表时间在预设窗口内，符合全部纳入标准；原流程判为“未使用非牙科专用3D软件”，属摘要层面信息不足导致的误排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,10,537TYRHV,Accuracy of impressions and framework marginal fit of implant-supported complete-arch fixed dental prostheses fabricated by using direct and indirect workflows.,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
