record_id,Key,Title,DOI,Journal,Item Type,Date,Year,Dental Specialty,Software Used,Application Scenario,Region,ai_original_label,decision,decision_reason,_n,decision_2,decision_2_reason,ID,ai_majority_label,_year,_month,Half,_spec,_scen,_soft,Half2,_soft2,Software Used (fixed),decision_3,decision_3_reason,study_type,Archetype,_nt,_source
1,49BSQFC2,"Tooth shape and sex estimation: a 3D geometric morphometric landmark-based comparative analysis of artificial neural networks, support vector machines, and Random Forest models",10.1007/s13205-025-04439-7,3 Biotech,journalArticle,2025/07,2025,Forensic Odontology,3D Slicer,Morphological and Phenotypic Analysis,IND,include,保留,未发现纳排问题,toothshapeandsexestimationa3dgeometricmorphometriclandmarkbasedcomparativeanalysisofartificialneuralnetworkssupportvectormachinesandrandomforestmodels,保留,,10.1007/s13205-025-04439-7,include,2025,7.0,2025-H2,['Forensic Odontology'],['Morphological and Phenotypic Analysis'],['3D Slicer'],2025-H2,['3D Slicer'],3D Slicer,保留,,computational,1,tooth shape and sex estimation a 3d geometric morphometric landmark based comparative analysis of artificial neural networks support vector machines and random forest models,原始筛查
2,88HUKGCR,Evaluation of the use of PEEK material in post-core and crown restorations using finite element analysis,,Am J Dent,journalArticle,2020/10,2020,Prosthodontics,Simpleware;Rhinoceros,Biomechanical Analysis and Simulation,TUR,include,保留,未发现纳排问题,evaluationoftheuseofpeekmaterialinpostcoreandcrownrestorationsusingfiniteelementanalysis,保留,,evaluationoftheuseofpeekmaterialinpostcoreandcrownrestorationsusingfiniteelementanalysis,,2020,10.0,2020-H2,['Prosthodontics'],['Biomechanical Analysis and Simulation'],"['Simpleware', 'Rhinoceros']",2020-H2,"['Simpleware', 'Rhinoceros', 'VRMesh', 'ALGOR']",Simpleware;Rhinoceros;VRMesh;ALGOR,保留,,computational,3,evaluation of the use of peek material in post core and crown restorations using finite element analysis,原始筛查
3,AES2CIZM,Automated assessment of mandibular shape asymmetry in 3-dimensions.,10.1016/j.ajodo.2021.07.014,Am J Orthod Dentofacial Orthop,journalArticle,2022/05,2022,Orthodontics;Oral and Maxillofacial Surgery,ITK-SNAP,Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,automatedassessmentofmandibularshapeasymmetryin3dimensions,保留,,10.1016/j.ajodo.2021.07.014,unsure,2022,5.0,2022-H1,"['Orthodontics', 'Oral and Maxillofacial Surgery']",['Morphological and Phenotypic Analysis'],['ITK-SNAP'],2022-H1,['ITK-SNAP'],ITK-SNAP,保留,,computational,1,automated assessment of mandibular shape asymmetry in 3 dimensions,原始筛查
4,I5RLGRTP,Accuracy of 3-dimensional stereophotogrammetry: Comparison of the 3dMD and Bellus3D facial scanning systems with one another and with direct anthropometry.,10.1016/j.ajodo.2021.04.020,Am J Orthod Dentofacial Orthop,journalArticle,2021/12,2021,Orthodontics;Oral and Maxillofacial Surgery,MeshLab,Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,accuracyof3dimensionalstereophotogrammetrycomparisonofthe3dmdandbellus3dfacialscanningsystemswithoneanotherandwithdirectanthropometry,保留,,10.1016/j.ajodo.2021.04.020,include,2021,12.0,2021-H2,"['Orthodontics', 'Oral and Maxillofacial Surgery']",['Morphological and Phenotypic Analysis'],['MeshLab'],2021-H2,['MeshLab'],MeshLab,保留,,in_vitro,1,accuracy of 3 dimensional stereophotogrammetry comparison of the 3dmd and bellus3d facial scanning systems with one another and with direct anthropometry,原始筛查
5,HIB4B72X,Comparison of digital study model superimposition methods using implant-supported crowns and best-fit algorithms,10.1016/j.ajodo.2024.06.009,Am J Orthod Dentofacial Orthop,journalArticle,2024/10,2024,Orthodontics,Geomagic Control X,3D Data Analysis and Accuracy Assessment,AUS,include,保留,未发现纳排问题,comparisonofdigitalstudymodelsuperimpositionmethodsusingimplantsupportedcrownsandbestfitalgorithms,保留,,10.1016/j.ajodo.2024.06.009,include,2024,10.0,2024-H2,['Orthodontics'],['3D Data Analysis and Accuracy Assessment'],['Geomagic Control X'],2024-H2,['Geomagic Control X'],Geomagic Control X,保留,,clinical,2,comparison of digital study model superimposition methods using implant supported crowns and best fit algorithms,原始筛查
6,4ZGWKF9Y,Estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the Invisalign appliance,10.1016/j.ajodo.2025.02.012,Am J Orthod Dentofacial Orthop,journalArticle,2025/07,2025,Orthodontics,Geomagic Control X,Morphological and Phenotypic Analysis,AUS,include,保留,未发现纳排问题,estimationofcentersofrotationofthemaxillaryincisorsduringnonextractionspaceclosureusingtheinvisalignappliance,保留,,10.1016/j.ajodo.2025.02.012,include,2025,7.0,2025-H2,['Orthodontics'],['Morphological and Phenotypic Analysis'],['Geomagic Control X'],2025-H2,['Geomagic Control X'],Geomagic Control X,保留,,clinical,1,estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the invisalign appliance,原始筛查
7,P23TVHFB,Effect of build angle and layer height on the accuracy of 3-dimensional printed dental models,10.1016/j.ajodo.2020.11.039,Am J Orthod Dentofacial Orthop,journalArticle,2021/09,2021,Orthodontics,Geomagic Control X,3D Data Analysis and Accuracy Assessment,USA,exclude,保留,未发现纳排问题,effectofbuildangleandlayerheightontheaccuracyof3dimensionalprinteddentalmodels,保留,,10.1016/j.ajodo.2020.11.039,unsure,2021,9.0,2021-H2,['Orthodontics'],['3D Data Analysis and Accuracy Assessment'],['Geomagic Control X'],2021-H2,['Geomagic Control X'],Geomagic Control X,保留,,in_vitro,2,effect of build angle and layer height on the accuracy of 3 dimensional printed dental models,原始筛查
8,I7KVKAFC,Effect of print orientation and duration of ultraviolet curing on the dimensional accuracy of a 3-dimensionally printed orthodontic clear aligner design,10.1016/j.ajodo.2020.03.023,Am J Orthod Dentofacial Orthop,journalArticle,2020/12,2020,Orthodontics,Meshmixer;Geomagic Control X,Digital Design and Manufacturing / 3D Data Analysis and Accuracy Assessment,USA,exclude,保留,未发现纳排问题,effectofprintorientationanddurationofultravioletcuringonthedimensionalaccuracyofa3dimensionallyprintedorthodonticclearalignerdesign,保留,,10.1016/j.ajodo.2020.03.023,unsure,2020,12.0,2020-H2,['Orthodontics'],"['Digital Design and Manufacturing', '3D Data Analysis and Accuracy Assessment']","['Meshmixer', 'Geomagic Control X']",2020-H2,"['Meshmixer', 'Geomagic Control X']",Meshmixer;Geomagic Control X,保留,,in_vitro,4,effect of print orientation and duration of ultraviolet curing on the dimensional accuracy of a 3 dimensionally printed orthodontic clear aligner design,原始筛查
9,378PQPRK,Three-dimensional zone of centers of resistance in maxillary central incisors and first molars: Couple-based finite element determination,10.1016/j.ajodo.2025.10.017,Am J Orthod Dentofacial Orthop,journalArticle,2026/04,2026,Orthodontics,Mimics;ANSYS,Biomechanical Analysis and Simulation,CHN,include,保留,未发现纳排问题,threedimensionalzoneofcentersofresistanceinmaxillarycentralincisorsandfirstmolarscouplebasedfiniteelementdetermination,保留,,10.1016/j.ajodo.2025.10.017,include,2026,4.0,2026-H1,['Orthodontics'],['Biomechanical Analysis and Simulation'],"['Mimics', 'ANSYS']",2026-H1,"['Mimics', 'ANSYS']",Mimics;ANSYS,保留,,computational,3,three dimensional zone of centers of resistance in maxillary central incisors and first molars couple based finite element determination,原始筛查
10,SE6G5JDN,Comparison of 1-and 3-piece directly 3-dimensional printed indirect bonding trays: An in vitro study,10.1016/j.ajodo.2024.07.015,Am J Orthod Dentofacial Orthop,journalArticle,2024/12,2024,Orthodontics,GOM Inspect,3D Data Analysis and Accuracy Assessment / Digital Design and Manufacturing,TUR,include,保留,未发现纳排问题,comparisonof1and3piecedirectly3dimensionalprintedindirectbondingtraysaninvitrostudy,保留,,10.1016/j.ajodo.2024.07.015,include,2024,12.0,2024-H2,['Orthodontics'],"['3D Data Analysis and Accuracy Assessment', 'Digital Design and Manufacturing']",['GOM Inspect'],2024-H2,['GOM Inspect'],GOM Inspect,保留,,in_vitro,2,comparison of 1 and 3 piece directly 3 dimensional printed indirect bonding trays an in vitro study,原始筛查
