Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,_nt
GNTHJANG,journalArticle,2024,"Roy, Indranil Deb; Desai, Ajay Premanand; Ramyasri, M.; Mukesh, K.",The role of patient specific implants in the oral and maxillofacial region.,"Medical journal, Armed Forces India",,0377-1237 2213-4743,10.1016/j.mjafi.2024.04.022,https://linkinghub.elsevier.com/retrieve/pii/S0377123724000820,"Reconstructing maxillofacial defects is quiet challenging due to the region's complex anatomy, and cosmetic and functional effects on patients. With the help  of developing technologies, patient-specific implants (PSIs) using virtual  surgical planning based on a Computer aided designing (CAD)/Computer aided  manufacturing (CAM) platform is an evolving treatment option. PSIs can be used in  patients with maxillofacial defects and reconstruction. PSIs are also being used  in the form of preformed plates for virtually planned orthognathic surgeries.  Customized temporomandibular joint (TMJ) prosthesis is being routinely used in  the debilitating/degenerative joint disease as a part of alloplastic joint  replacement. The reconstruction of the maxillofacial region using autogenous  tissue will always be gold standard due to near match of the recipient site.  However, autogenous bone grafts positioned using PSIs or in certain areas such as  the TMJ complex and the orbital region the PSIs are being offered with advantage  of reduced donor-site morbidity. The future research is focussed towards the  development of PSIs being used as a scaffold for engineering of the recipient  tissue to restore the lost anatomy of specific region. This article reviews the  varied aspects of this new technology of PSI for correction of various  deformities/defects during the maxillofacial reconstruction.",24-Aug,2026/6/26 16:47,2026/6/29 14:23,2026/6/29 2:32,387-391,,4,80,,Med J Armed Forces India,,,,,,,India,eng,"? 2024 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.",,,,DOI.org (Crossref),,,,D:\Zotero_Articles\storage\SF8BI78Z\Roy 等 - 2024 - The role of patient specific implants in the oral and maxillofacial region.pdf,,Autogenous Bone grafts; Maxillofacial region; Patient specific implants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the role of patient specific implants in the oral and maxillofacial region
4I6N7UPZ,journalArticle,2022,"Ahmed, Kaleem S.; Ibad, Hamza; Suchal, Zafar A.; Gosain, Arun K.",Implementation of 3D Printing and Computer-Aided Design and Manufacturing (CAD/CAM) in Craniofacial Reconstruction.,The Journal of craniofacial surgery,,1536-3732 1049-2275,10.1097/SCS.0000000000008561,,"INTRODUCTION: The need for precision in craniomaxillofacial surgery has necessitated the evolution of new technology to improve patient outcomes and  subsequently augment the road to recovery. Surgical planning has variables that  may influence outcomes, including the image quality, image acquisition and image  processing. Our review focuses on the advancement of three dimensional (3D)  printing to create patient-specific constructs and therefore aims to study the  current trends in the implementation of 3-D printing in craniofacial surgeries,  including preferred 3-D printing techniques and materials, computer-aided design  and manufacturing techniques, and outcomes as measured by recent studies.  METHODS: The authors conducted a systematic review following PRISMA guidelines to  query PubMed, Embase, Cochrane library and ProQuest electronic databases. Mesh  combinations and synonyms of ""3Dprinting"", ""3Dprinted"", ""Craniofacial"" were used.  The authors included all original human studies that focused on the surgical  implementation of 3D-printed implants for craniofacial defects. RESULTS: After  screening 1253 studies, the authors included 49 articles consisting of a total of  745 subjects for qualitative analysis. Titanium (n = 13) and polycaprolactone (n  = 6) were the most common 3D printed materials studied while Color Jet Printing  (n = 12) and Stereolithography (n = 11) were the most common techniques. All  studies that compared implants acquired by 3D printing with those acquired by  conventional approaches showed a significantly better prognosis, and reductions  in operative time, length of stay, and immediate complications. CONCLUSIONS: The  use of patient-specific alternative materials, planning software and 3-D printing  techniques shows satisfactory results in craniofacial reconstruction. Future  studies should include standard levels of objective measurements to make better  comparisons.",2022/9/1,2026/6/26 16:47,2026/6/29 14:19,,1714-1719,,6,33,,J Craniofac Surg,,,,,,,United States,eng,"Copyright ? 2022 by Mutaz B. Habal, MD.",,,,,,,,D:\Zotero_Articles\storage\DCRPMDMR\Implementation of 3D Printing and Computer-Aided Design and Manufacturing (CAD_CAM) in Craniofacial .pdf,,"*Dental Implants; *Plastic Surgery Procedures/methods; Computer-Aided Design; Humans; Operative Time; Printing, Three-Dimensional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,implementation of 3d printing and computer aided design and manufacturing cad cam in craniofacial reconstruction
XSN8NLIH,journalArticle,2025,"Strong, E. Brandon; Patel, Anuj; Marston, Alexander P.; Sadegh, Cameron; Potts, Jeffrey; Johnston, Darin; Ahn, David; Bryant, Shae; Li, Michael; Raslan, Osama; Lucero, Steven A.; Fischer, Marc J.; Zwienenberg, Marike; Sharma, Neha; Thieringer, Florian; El Amm, Christian; Shahlaie, Kiarash; Metzger, Marc; Strong, E. Bradley",Augmented Reality Navigation in Craniomaxillofacial/Head and Neck Surgery.,OTO open,,2473-974X,10.1002/oto2.70108,https://aao-hnsfjournals.onlinelibrary.wiley.com/doi/10.1002/oto2.70108,"OBJECTIVE: This study aims to (1) develop an augmented reality (AR) navigation platform for craniomaxillofacial (CMF) and head and neck surgery; (2) apply it to  a range of surgical cases; and (3) evaluate the advantages, disadvantages, and  clinical opportunities for AR navigation. STUDY DESIGN: A multi-center  retrospective case series. SETTING: Four tertiary care academic centers. METHODS:  A novel AR navigation platform was collaboratively developed with Xironetic and  deployed intraoperatively using only a head-mounted display (Microsoft HoloLens  2). Virtual surgical plans were generated from computed tomography/magnetic  resonance imaging data and uploaded onto the AR platform. A reference array was  mounted to the patient, and the virtual plan was registered to the patient  intraoperatively. A retrospective review of all AR-navigated CMF cases since  September 2023 was performed. RESULTS: Thirty-three cases were reviewed and  classified as either trauma, orthognathic, tumor, or craniofacial. The AR  platform had several advantages over traditional navigation including real-time  3D visualization of the surgical plan, identification of critical structures, and  real-time tracking. Furthermore, this case series presents the first-known  examples of (1) AR instrument tracking for midface osteotomies, (2) AR tracking  of the zygomaticomaxillary complex during fracture reduction, (3) mandibular  tracking in orthognathic surgery, (4) AR fibula cutting guides for mandibular  reconstruction, and (5) integration of real-time infrared visualization in an AR  headset for vasculature identification. CONCLUSION: While still a developing  technology, AR navigation provides several advantages over traditional navigation  for CMF and head and neck surgery, including heads up, interactive 3D  visualization of the surgical plan, identification of critical anatomy, and  real-time tracking.",25-Jun,2026/6/26 17:56,2026/6/29 14:23,2026/6/29 2:27,e70108,,2,9,,OTO Open,,,,,,,United States,eng,? 2025 The Author(s). OTO Open published by Wiley Periodicals LLC on behalf of American Academy of Otolaryngology‐Head and Neck Surgery Foundation.,,,,DOI.org (Crossref),,,,D:\Zotero_Articles\storage\G35QEZZ4\Strong 等 - 2025 - Augmented Reality Navigation in CraniomaxillofacialHead and Neck Surgery.pdf,,augmented reality; augmented reality navigation; bilateral sagittal split operation; bimaxillary advancement; computer‐aided surgery; cranial vault remodeling; craniofacial; craniomaxillofacial surgery; extended reality; facial plastic reconstructive; fibula free flap; frontal sinus; fronto‐orbital advancement; hamartoma; head and neck cancer; Le Fort; mandible; mandibular distraction; mandibular reconstruction; meningioma; midface; mixed reality; naso‐orbito‐ethmoid; navigation; orbit; orthognathic; panfacial; spheno‐orbital; surgically assisted rapid palatal expansion (SARPE); trauma; tumors; virtual reality; virtual surgical planning; zygoma; zygomaticomaxillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,augmented reality navigation in craniomaxillofacial head and neck surgery
GM2LLIKT,journalArticle,2025,"Chen, Ruizhe; Yang, Jianfei; Xiong, Huimin; Xu, Ruiling; Feng, Yang; Wu, Jian; Liu, Zuozhu",Cross-center Model Adaptive Tooth segmentation.,Medical image analysis,,1361-8423 1361-8415,10.1016/j.media.2024.103443,,"Automatic 3-dimensional tooth segmentation on intraoral scans (IOS) plays a pivotal role in computer-aided orthodontic treatments. In practice, deploying  existing well-trained models to different medical centers suffers from two main  problems: (1) the data distribution shifts between existing and new centers,  which causes significant performance degradation. (2) The data in the existing  center(s) is usually not permitted to be shared, and annotating additional data  in the new center(s) is time-consuming and expensive, thus making re-training or  fine-tuning unfeasible. In this paper, we propose a framework for Cross-center  Model Adaptive Tooth segmentation (CMAT) to alleviate these issues. CMAT takes  the trained model(s) from the source center(s) as input and adapts them to  different target centers, without data transmission or additional annotations.  CMAT is applicable to three cross-center scenarios: source-data-free,  multi-source-data-free, and test-time. The model adaptation in CMAT is realized  by a tooth-level prototype alignment module, a progressive pseudo-labeling  transfer module, and a tooth-prior regularized information maximization module.  Experiments under three cross-center scenarios on two datasets show that CMAT can  consistently surpass existing baselines. The effectiveness is further verified  with extensive ablation studies and statistical analysis, demonstrating its  applicability for privacy-preserving model adaptive tooth segmentation in  real-world digital dentistry.",25-Apr,2026/5/16 18:16,2026/6/29 14:18,,103443,,,101,,Med Image Anal,,,,,,,Netherlands,eng,Copyright ? 2024. Published by Elsevier B.V.,,,,,,"TLDR: Experiments under three cross-center scenarios on two datasets show that CMAT can consistently surpass existing baselines, demonstrating its applicability for privacy-preserving model adaptive tooth segmentation in real-world digital dentistry.",,D:\Zotero_Articles\storage\Y5FQGSQY\Chen 等 - 2025 - Cross-center Model Adaptive Tooth segmentation..pdf,,"*Imaging, Three-Dimensional/methods; *Tooth/diagnostic imaging; Algorithms; Cross-center; Humans; Source-free Domain Adaptation; Tooth segmentation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cross center model adaptive tooth segmentation
CLHU5JFE,journalArticle,2024,"Klop, Cornelis; Schreurs, Ruud; De Jong, Guido A.; Klinkenberg, Edwin Tm; Vespasiano, Valeria; Rood, Naomi L.; Niehe, Valerie G.; Soerdjbalie-Maikoe, Vidija; Van Goethem, Alexia; De Bakker, Bernadette S.; Maal, Thomas Jj; Nolte, Jitske W.; Becking, Alfred G.","An open-source, three-dimensional growth model of the mandible.",Computers in biology and medicine,,1879-0534 0010-4825,10.1016/j.compbiomed.2024.108455,https://linkinghub.elsevier.com/retrieve/pii/S0010482524005390,"The available reference data for the mandible and mandibular growth consists primarily of two-dimensional linear or angular measurements. The aim of this  study was to create the first open-source, three-dimensional statistical shape  model of the mandible that spans the complete growth period. Computed tomography  scans of 678 mandibles from children and young adults between 0 and 22 years old  were included in the model. The mandibles were segmented using a semi-automatic  or automatic (artificial intelligence-based) segmentation method. Point  correspondence among the samples was achieved by rigid registration, followed by  non-rigid registration of a symmetrical template onto each sample. The  registration process was validated with adequate results. Principal component  analysis was used to gain insight in the variation within the dataset and to  investigate age-related changes and sexual dimorphism. The presented growth model  is accessible globally and free-of-charge for scientists, physicians and forensic  investigators for any kind of purpose deemed suitable. The versatility of the  model opens up new possibilities in the fields of oral and maxillofacial surgery,  forensic sciences or biological anthropology. In clinical settings, the model may  aid diagnostic decision-making, treatment planning and treatment evaluation.",24-Jun,2026/6/26 17:56,2026/6/29 14:23,2026/6/29 2:32,108455,,,175,,Comput Biol Med,,,,,,,United States,eng,Copyright ? 2024 The Authors. Published by Elsevier Ltd.. All rights reserved.,,,,DOI.org (Crossref),,,,"D:\Zotero_Articles\storage\AJ6ZKVAL\Klop 等 - 2024 - An open-source, three-dimensional growth model of the mandible.pdf",,"*Imaging, Three-Dimensional/methods; *Mandible/diagnostic imaging/growth & development; Adolescent; Adult; Child; Child, Preschool; Computed tomography; Female; Growth model; Humans; Infant; Infant, Newborn; Male; Mandible; Models, Anatomic; Models, Biological; Open-source; Statistical shape model; Three-dimensional; Tomography, X-Ray Computed; Young Adult",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an open source three dimensional growth model of the mandible
8I6XZTXC,journalArticle,2022,"Bianchi, Jonas; Mendonca, Gustavo; Gillot, Maxime; Oh, Heesoo; Park, Joorok; Turkestani, Najla Al; Gurgel, Marcela; Cevidanes, Lucia",Three-dimensional digital applications for implant space planning in orthodontics: A narrative review.,Journal of the World federation of orthodontists,,2212-4438,10.1016/j.ejwf.2022.10.006,,"In the digital dentistry era, new tools, algorithms, data science approaches, and computer applications are available to researchers and clinicians. However, there  is also a strong need for better knowledge and understanding of multisource data  applications, including three-dimensional imaging information such as cone-beam  computed tomography images and digital dental models for multidisciplinary cases.  In addition, artificial intelligence models and automated clinical decision  systems are rising. The clinician needs to plan the treatment based on  state-of-the-art diagnosis for better and more personalized treatment. This  article aimed to review basic concepts and the current panorama of digital  implant planning in orthodontics, with open-source and closed-source tools for  assessing cone-beam computed images and digital dental models. The visualization  and processing of the three-dimensional data allow better implant planning based  on bone conditions, adjacent teeth and root positions, and the prognosis of the  case. We showed that many tools for assessment, segmentation, and visualization  of cone-beam computed tomographic images and digital dental models could  facilitate the treatment planning of patients needing implants or space closure.  The tools and approaches presented are toward personalized treatment and better  prognosis, following the path to a more automated clinical decision system based  on multisource three-dimensional data, artificial intelligence models, and  digital planning. In summary, the orthodontist needs to analyze each patient  individually and use different software or tools that better fit their practice,  allowing efficient treatment planning and satisfactory results with an adequate  prognosis.",22-Dec,2026/6/26 17:09,2026/6/29 14:19,,207-215,,6,11,,J World Fed Orthod,,,,,,,United States,eng,Copyright ? 2022 World Federation of Orthodontists. Published by Elsevier Inc. All rights reserved.,,,,,,,,,,*Dental Implants; *Orthodontics; Artificial Intelligence; CBCT; Dental Care; Digital dental models; Digital dentistry; Humans; Implant planning; Orthodontists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,three dimensional digital applications for implant space planning in orthodontics a narrative review
7NEJ5SFL,journalArticle,2020,"Baan, F.; de Waard, O.; Bruggink, R.; Xi, T.; Ongkosuwito, E. M.; Maal, T. J. J.",Virtual setup in orthodontics: planning and evaluation.,Clinical oral investigations,,1436-3771 1432-6981,10.1007/s00784-019-03097-3,,"OBJECTIVES: The purpose of this study was to evaluate the clinical accuracy of virtual orthodontic setups by using a new CBCT-based approach. MATERIALS AND  METHODS: Ten patients who underwent pre-surgical orthodontics were included in  this study. Pre-treatment and pre-surgical cone-beam CT (CBCT) scans and digital  dental models were available. The pre-treatment digital dental model was used to  create an orthodontic virtual setup. The digital dental models were fused with  the corresponding CBCT scans, and the two CBCT scans were aligned using  voxel-based matching. Moving each individual tooth from the virtual setup to the  final outcome allows the calculation of the accuracy of the virtual setup by  using an iterative closest point algorithm. Differences between virtual setup and  final outcome were recorded as well as the ICC between two observers. RESULTS:  The inter-observer variability showed a high level of agreement between the  observers. The largest mean difference between observers was found in the  cranial/caudal direction (0.36 ± 0.30 mm) and the roll rotation (1.54 ± 0.98°).  Differences between the virtual setup and final outcome were small in the  translational direction (0.45 ± 0.48 mm). Rotational mean differences were larger  with the pitch of the incisors (0.00 ± 7.97°) and molars (0.01 ± 10.26°) as  largest difference. Excessive extrusion of all upper teeth and more anterior  movement than planned were seen for both upper and lower arch. Lower molars  showed less extrusion. CLINICAL RELEVANCE: The data of this study can be used to  obtain more insight in the accuracy and achievability of orthodontic virtual  setup. Tooth movement can now be studied in more details which can lead to new  insights.",20-Jul,2026/6/29 14:16,2026/6/29 14:16,,2385-2393,,7,24,,Clin Oral Investig,,,,,,,Germany,eng,,,,,,,,,,,"Humans; Imaging, Three-Dimensional; Cone-Beam Computed Tomography; CBCT; *Orthodontics; *Tooth Movement Techniques; Orthodontics; Molar; Orthognathic surgery; Incisor; *User-Computer Interface; Virtual setup; Tooth movement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virtual setup in orthodontics planning and evaluation
YWZB3ZFE,journalArticle,2022,"Alhallak, K. R.; Nankali, A.",3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,The European journal of prosthodontics and restorative dentistry,,0965-7452,10.1922/EJPRD_2208Alhallak06,,"The aim of this review is to investigate the use of 3D printing technologies for removable denture fabrication with a focus on the advantages, potentials,  disadvantages and barriers. METHODS: An electronic search of the English language  literature from 1970 to March 2020 was carried out in databases such as  PubMed/MEDLINE, Embase, Scopus, and Web of Science databases with applying the  inclusion and exclusion criteria. The search was performed using a variety of  keywords including 3D printing, rapid prototyping, additive manufacturing,  dentures/complete dentures. RESULTS: A total of 412 publications were retrieved.  After applying the inclusion criteria and excluding the studies on CAD/CAM,  studies on 3D printed crown and bridge and studies on 3D printed metal framework,  18 articles were identified for reading and analyzing in details. The results  have outlined the main 3D printing advantages such as saving working time,  satisfying clinical results and securing patients records. The detected  disadvantages were the strength, esthetics and material biocompatibility.  CONCLUSION: Denture fabrication by 3D printing technology is becoming more common  in dental clinics. However, there is still a lack of information about  biocompatibility and clinical performance of 3D printed dentures and further  studies are essential.",2022/2/28,2026/6/26 17:56,2026/6/29 14:19,,14-19,,1,30,,Eur J Prosthodont Restor Dent,,,,,,,England,eng,Copyright? 2022 Dennis Barber Ltd.,,,,,,,,D:\Zotero_Articles\storage\U2RLS66A\Alhallak和Nankali - 2022 - 3D Printing Technologies for Removable Dentures Manufacturing A Review of Potentials and Challenges.pdf,,"*Denture, Complete; *Printing, Three-Dimensional; 3D Printing; Additive Manufacturing; Computer-Aided Design; Dentures; Digitally Designed; Humans; Rapid Manufacturing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d printing technologies for removable dentures manufacturing a review of potentials and challenges
CY4M86BS,journalArticle,2024,"Liu, Y.; Liu, X.; Yang, C.; Yang, Y.; Chen, H.; Yuan, Y.",Geo-Net: Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.,Journal of dental research,,1544-0591 0022-0345,10.1177/00220345241292566,https://journals.sagepub.com/doi/10.1177/00220345241292566,"Accurately delineating individual teeth in 3-dimensional tooth point clouds is an important orthodontic application. Learning-based segmentation methods rely on  labeled datasets, which are typically limited in scale due to the labor-intensive  process of annotating each tooth. In this article, we propose a self-supervised  pretraining framework, named Geo-Net, to boost segmentation performance by  leveraging large-scale unlabeled data. The framework is based on the scalable  masked autoencoders, and 2 geometry-guided designs, curvature-aware patching  algorithm (CPA) and scale-aware reconstruction (SCR), are proposed to enhance the  masked pretraining for tooth point cloud segmentation. In particular, CPA is  designed to assemble informative patches as the reconstruction unit, guided by  the estimated pointwise curvatures. Aimed at equipping the pretrained encoder  with scale-aware modeling capacity, we also propose SCR to perform multiple  reconstructions across shallow and deep layers. In vitro experiments reveal that  after pretraining with large-scale unlabeled data, the proposed Geo-Net can  outperform the supervised counterparts in mean Intersection of Union (mIoU) with  the same amount of annotated labeled data. The code and data are available at  https://github.com/yifliu3/Geo-Net.",24-Dec,2026/5/16 18:18,2026/6/29 14:18,2025/9/26 16:12,1358-1364,,13,103,,J Dent Res,Geo-Net,,,,,,United States,eng,,,,,DOI.org (Crossref),,,,D:\Zotero_Articles\storage\E3TVZGCG\Liu 等 - 2024 - Geo-Net Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.pdf,,"*Algorithms; *Imaging, Three-Dimensional/methods; artificial intelligence; computer vision/convolutional neural networks; deep learning/machine learning; dental anatomy; dental informatics/bioinformatics; electronic dental records; Humans; Image Processing, Computer-Assisted/methods; Neural Networks, Computer; Tooth/anatomy & histology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geo net geometry guided pretraining for tooth point cloud segmentation
JP3XLWTI,journalArticle,2023,"Fekri, Lina Khalaf; Abdelaziz, Medhat Sameh",Digital duplication of maxillary complete denture: A dental technique.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],,1708-8240 1496-4155,10.1111/jerd.13055,https://onlinelibrary.wiley.com/doi/10.1111/jerd.13055,"OBJECTIVE: This technique aims to construct a virtual, well-adapted maxillary denture from an existing, ill-fitting denture in completely edentulous patients.  CLINICAL CONSIDERATIONS: A functional impression is made using the loose  maxillary denture, and a cone beam computed tomography (CBCT) of the entire old  denture is carried out. The obtained digital imaging and communication in  medicine (DICOM) file was segmented using an image computing platform software  (3D slicer). The resultant Standard Tessellation Language (STL) file was 3D  printed in porcelain white-like resin, then colored and characterized.  CONCLUSIONS: The technique introduces a high-quality digital denture replicate  with good retention, that can replace the traditional duplication technique. It  can also be used as a relining method for old dentures. This proposed digital  technique reduces the number of clinical appointments while also providing a  digital library for future denture manufacture. CLINICAL SIGNIFICANCE: The  proposed technique offers a high-quality digital denture replicate that can  replace the traditional duplication technique. This digital technique also  reduces the number of clinical appointments required for denture duplication.",23-Oct,2026/6/26 17:09,2026/6/29 14:23,2026/6/29 2:32,1139-1143,,7,35,,J Esthet Restor Dent,Digital duplication of maxillary complete denture,,,,,,England,eng,? 2023 Wiley Periodicals LLC.,,,,DOI.org (Crossref),,,,D:\Zotero_Articles\storage\VQ4KMY82\Fekri和Abdelaziz - 2023 - Digital duplication of maxillary complete denture A dental technique.pdf; D:\Zotero_Articles\storage\5JSCLEKG\Fekri和Abdelaziz - 2023 - Digital duplication of maxillary complete denture A dental technique.pdf,,"*Denture Design/methods; *Mouth, Edentulous; Computer-Aided Design; Dental Porcelain; Denture, Complete; digital denture; duplication-retention-completely edentulous; Humans; relining-CAD-CAM-denture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digital duplication of maxillary complete denture a dental technique
