序号,Key,Title,DOI,补全刊名,证据来源,证据文本,置信度
820,KAMJ6MSW,Comparison of Fracture Load of the Four Translucent Zirconia Crowns,10.3390/molecules26175308,Molecules,Crossref-DOI,10.3390/molecules26175308,高
894,S8P6WG4Y,Fit Accuracy of Cobalt-Chromium and Polyether Ether Ketone Prosthetic Frameworks Produced Using Digital Techniques: In Vitro Pilot Study,10.3390/app14010118,Applied Sciences,PDF首页,Applied Sciences,高
903,2K22USSR,3D Printing Technology with Reverse Guide Design in Autogenous Tooth Transplantation: An in vitro Pictorial Report,10.29271/jcpsp.2023.08.936,Journal of the College of Physicians and Surgeons Pakistan,Crossref-DOI,10.29271/jcpsp.2023.08.936,高
1167,AUHQYKM6,Transfer accuracy of four different lingual retainer transfer methods using digital orthodontic models: An in vivo comparative study,10.2319/020921-118.1,Angle Orthod,PDF首页,Angle Orthod,高
1338,TAVPDM8D,"Effect of thermal cycling on the mechanical properties of conventional, milled, and 3D-printed base resin materials: a comparative in vitro study",10.7717/peerj.19141,Materials,PDF首页,materials.,高
1372,6Z8WC5MR,Comparing 3D Tooth Movement When Implementing the Same Virtual Setup on Different Software Packages,10.3390/jcm11185351,J Clin Med,PDF首页,J Clin Med,高
1486,BLV4YE3S,Effects of canine movement on maxillary anterior en-masse retraction with clear aligners: a finite element study,10.1186/s12903-025-05712-0,BMC Oral Health,PDF首页,BMC Oral Health,高
1702,2JTAYJJD,REFERENCE AREAS SELECTION AFFECTS REGISTRATION OF AI-SEGMENTED MANDIBLES ACQUIRED WITH CBCT,10.5566/ias.3289,Image Analysis and Stereology,Crossref-DOI,10.5566/ias.3289,高
1795,S4H5JVW3,Orthodontic treatment improves gingival morphological symmetry parameters: a retrospective study,10.1186/s12903-025-06452-x,BMC Oral Health,PDF首页,BMC Oral Health,高
1822,2XCE6F7N,Three-dimensional assessment of two different canine retraction techniques: a randomized split-mouth clinical trial,10.1186/s40510-021-00374-4,Progress in Orthodontics,Crossref-DOI,10.1186/s40510-021-00374-4,高
2004,QJSKYIQF,Fabrication of Metal-Reinforced Complete Dentures Using the CAD-CAM Technique,10.3390/app11167369,Applied Sciences,Crossref-DOI,10.3390/app11167369,高
2038,7VD2J5PF,Biomechanical evaluation of a customized 3D-printed polyetheretherketone condylar prosthesis,10.3892/etm.2021.9779,Materials,PDF首页,Materials,高
2052,THQFPEYX,"Marginal and Internal Gaps, Surface Roughness and Fracture Resistance of Provisional Crowns Fabricated With 3D Printing and Milling Systems",10.2341/22-095-L,Materials,PDF首页,Materials,高
2204,NKHLQW6Q,Finite element analysis of class II mandibular unilateral distal extension partial dentures,10.1177/09544062221096634,Materials,PDF首页,Materials,高
2320,24Y7C84K,Automatic Segmentation of Mandibular Ramus and Condyles,10.1109/EMBC46164.2021.9630727,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),Crossref-DOI,10.1109/EMBC46164.2021.9630727,高
2330,U8CZVJBX,Interactive Volume Rendering Module using Two-Dimensional Transfer Function on Cone-Beam Computed Tomography Data,10.1109/SPIN57001.2023.10117196,2023 10th International Conference on Signal Processing and Integrated Networks (SPIN),Crossref-DOI,10.1109/SPIN57001.2023.10117196,高
2366,SXD7ZNDY,Digital Twin-Based Stereo Dataset Generation Method for 3D Reconstruction of Teeth,10.1109/WRCSARA68202.2025.11194969,2025 WRC Symposium on Advanced Robotics and Automation (WRC SARA),Crossref-DOI,10.1109/WRCSARA68202.2025.11194969,高
2373,GNNPTY9X,Innovative Facial Sculpting of the Human Skull Using 3D Scanning Techniques,10.1109/BMEiCON64021.2024.10896334,2024 16th Biomedical Engineering International Conference (BMEiCON),Crossref-DOI,10.1109/BMEiCON64021.2024.10896334,高
