record_id,record_key,title,software_before,software_after,dropped_packages,drop_reason,action
396,TTKVIR7E,Time efficiency and precision of splinted complete arch implant scanning,GOM Inspect;R2 Gate,GOM Inspect,R2 Gate,R2 Gate: Fails origin criterion: dental implant-planning software (MegaGen Implant),software list adjusted
567,22IDN6AX,A novel approach to craniofacial analysis using automated 3D landmarking of the skull,3D Slicer;Blender;Meshmixer;MATLAB,3D Slicer;Blender;Meshmixer,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,software list adjusted
571,TXLBAMRE,Accuracy of facial skeletal surfaces segmented from CT and CBCT radiographs,Artec Studio;Viewbox,Artec Studio,Viewbox,Viewbox: Fails origin criterion: cephalometric (orthodontic) analysis software (dHAL),software list adjusted
589,2U8ZWJEZ,Accuracy evaluation of dental CBCT and scanned model registration method based on pulp horn mapping surface: an in vitro proof-of-concept,MATLAB;Geomagic Wrap,Geomagic Wrap,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,software list adjusted
605,R7BP6AWA,Three-dimensional facial volume analysis using algorithm-based personalized aesthetic templates,Meshmixer;MATLAB,Meshmixer,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,software list adjusted
610,QJG6B55I,"Semi-automated three-dimensional analysis of maxillary anomalies in patients with Muenke syndrome, Saethre-Chotzen syndrome or TCF12-related craniosynostosis: A  retrospective study.",MATLAB,,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,RECORD REMOVED
631,W5WVZD2W,Influence of the preparation design on the survival probability of occlusal veneers,ITK-SNAP;Z88;ImageJ;Iso2mesh;GNU Octave,ITK-SNAP;Z88;ImageJ,Iso2mesh;GNU Octave,Iso2mesh: Not a software package: mesh-generation programming library | GNU Octave: Not a 3D software package: general numerical-computing platform,software list adjusted
649,JVRN27GF,Three-dimensional virtual planning in mandibular advancement surgery: Soft tissue prediction based on deep learning,MATLAB;Keras;TensorFlow;Python,,MATLAB;Keras;TensorFlow;Python,MATLAB: Not a 3D software package: general numerical-computing platform | Keras: Not a 3D software package: machine-learning framework | TensorFlow: Not a 3D software package: machine-learning framework | Python: Not a 3D software package: general-purpose programming language,RECORD REMOVED
656,8PBRU82N,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,MeshLab;Open3D,MeshLab,Open3D,Open3D: Not a software package: 3D programming library,software list adjusted
678,7ECMK5KU,Performance of Rigid and Soft Transfer Templates Using Viscous and Fluid Resin-Based Composites in the Attachment Bonding Process of Clear Aligners.,MATLAB,,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,RECORD REMOVED
719,5MX98NQ5,Comparison of stereolithography (STL) and polygon file format (PLY) for intraoral scans: From chairside to archive.,Blender;MeshLab;Trimesh,Blender;MeshLab,Trimesh,Trimesh: Not a software package: mesh-processing programming library,software list adjusted
745,5EV82UG8,Tomographic similarity scan with a computed modified absolute mandibular midsagittal plane for precise and objective localization of mandibular asymmetry,MATLAB,,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,RECORD REMOVED
754,9792KQV4,"Evaluation of the accuracy (trueness, precision) and processing time of different 3-dimensional CAD software programs and algorithms for virtual cast alignment.",Blender;Meshmixer;Python,Blender;Meshmixer,Python,Python: Not a 3D software package: general-purpose programming language,software list adjusted
775,7M8ERVJ3,Development of an Automatic Computer Program to Determine the Optimal Dental Implant Size and Position for Fibula Free Flap Surgery.,MATLAB,,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,RECORD REMOVED
822,BI5PRGUX,Differentiation of benign and malignant oral lesions through surface texture analysis and SVM modeling,ImageJ;MATLAB,ImageJ,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,software list adjusted
831,EBNEIKEM,Effect of various printing parameters on the accuracy (trueness and precision) of 3D-printed partial denture framework,Meshmixer;Geomagic Control X;MATLAB,Meshmixer;Geomagic Control X,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,software list adjusted
844,X4EJBTIQ,Three-Dimensional Quantitative Analysis of Maxillary Arch Morphology Across Sagittal and Vertical Skeletal Patterns,MATLAB,,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,RECORD REMOVED
848,LZEYGM5C,Automatic landmark identification for surgical 3d-navigation - A proposed method for marker-free dental surgical navigation systems,MATLAB,,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,RECORD REMOVED
853,K24ZBIB8,Enhancing panoramic dental imaging with AI-driven arch surface fitting: achieving improved clarity and accuracy through an optimal reconstruction zone,MATLAB,,MATLAB,MATLAB: Not a 3D software package: general numerical-computing platform,RECORD REMOVED
