序号,Key,Title,run1,run2,run3,一致,一致度,多数标签
,GNTHJANG,The role of patient specific implants in the oral and maxillofacial region.,exclude,exclude,exclude,True,1.0,exclude
,4I6N7UPZ,Implementation of 3D Printing and Computer-Aided Design and Manufacturing (CAD/CAM) in Craniofacial Reconstruction.,exclude,exclude,exclude,True,1.0,exclude
,XSN8NLIH,Augmented Reality Navigation in Craniomaxillofacial/Head and Neck Surgery.,unsure,unsure,unsure,True,1.0,unsure
,GM2LLIKT,Cross-center Model Adaptive Tooth segmentation.,unsure,unsure,unsure,True,1.0,unsure
,CLHU5JFE,"An open-source, three-dimensional growth model of the mandible.",unsure,unsure,unsure,True,1.0,unsure
,8I6XZTXC,Three-dimensional digital applications for implant space planning in orthodontics: A narrative review.,exclude,exclude,exclude,True,1.0,exclude
,7NEJ5SFL,Virtual setup in orthodontics: planning and evaluation.,unsure,unsure,unsure,True,1.0,unsure
,YWZB3ZFE,3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,exclude,exclude,exclude,True,1.0,exclude
,CY4M86BS,Geo-Net: Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.,unsure,unsure,unsure,True,1.0,unsure
,JP3XLWTI,Digital duplication of maxillary complete denture: A dental technique.,include,include,include,True,1.0,include
,MQGENIRJ,Automated Orientation and Registration of Cone-Beam Computed Tomography Scans.,include,include,include,True,1.0,include
,AHMZVPPN,Virtual surgical planning and augmented reality for fixation of plate during Le Fort I osteotomy.,unsure,unsure,unsure,True,1.0,unsure
,26QMLGSA,Identifying teeth and tooth fragments from digital 3D models.,unsure,unsure,unsure,True,1.0,unsure
,LVQV6BQX,Convolutional mesh autoencoders for the 3-dimensional identification of FGFR-related craniosynostosis.,unsure,unsure,exclude,False,0.6666666666666666,unsure
,8TB2V9T8,Virtual reconstruction of orbital defects using Gaussian process morphable models.,include,include,include,True,1.0,include
,7RLZP4A4,Proof-of-Concept Digital-Physical Workflow for Clear Aligner Manufacturing.,include,include,include,True,1.0,include
,T8Q2R8EA,Effect of the presence of orthodontic brackets on intraoral scans.,unsure,unsure,unsure,True,1.0,unsure
,QV9TASMT,3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population.,unsure,unsure,unsure,True,1.0,unsure
,J8XSJUZ3,Step-by-Step Implementation of Three-Dimensional Print Technology in Preoperative Neurosurgery Planning.,exclude,exclude,exclude,True,1.0,exclude
