_nt,Key,Title,排除原因
increased deformations are dispensable for cell mechanoresponse in engineered bone analogs mimicking aging bone marrow,P5U2KFAM,Increased deformations are dispensable for cell mechanoresponse in engineered bone analogs mimicking aging bone marrow.,不属于口腔医学范畴
toothsegnet image degradation meets tooth segmentation in cbct images,9W9E5HVY,Toothsegnet: Image Degradation Meets Tooth Segmentation in CBCT Images,未使用非牙科专用3D软件
open source 3d printable iol holder for detailed smartphone based anterior segment photography,QVUWC6BB,"Open-source, 3D printable IOL holder for detailed, smartphone-based anterior segment photography",不属于口腔医学范畴
a novel artificial intelligence based approach for quantitative assessment of angiogenesis in the ex ovo cam model,9RG8ZHBS,A Novel Artificial Intelligence-Based Approach for Quantitative Assessment of Angiogenesis in the Ex Ovo CAM Model,不属于口腔医学范畴
accuracy of static computer assisted implant placement in posterior edentulous areas with different levels of tooth support by novice clinicians,69LQ9WZ4,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,未使用非牙科专用3D软件
effective removal of pb2 from oral medical wastewater via an activated three dimensional framework carbon 3d afc,HVBNRLAV,Effective removal of Pb2+ from oral medical wastewater via an activated three-dimensional framework carbon (3D AFC),不属于口腔医学范畴
growth allometry and dental topography in upper triassic conodonts support trophic differentiation and molar like element function,MZW42EWD,Growth allometry and dental topography in Upper Triassic conodonts support trophic differentiation and molar-like element function,不属于口腔医学范畴
leveraging solid solubility and miscibility of etoricoxib in soluplus towards manufacturing of 3d printed etoricoxib tablets by additive manufacturing,5BZNI5MC,Leveraging solid solubility and miscibility of etoricoxib in Soluplus? towards manufacturing of 3D printed etoricoxib tablets by additive manufacturing,不属于口腔医学范畴
the impact of mixed reality training method on novice trainees of dental implants an in vitro study,S22NI99I,The impact of mixed reality training method on novice trainees of dental implants: an in vitro study,未使用非牙科专用3D软件
accuracy of impressions and framework marginal fit of implant supported complete arch fixed dental prostheses fabricated by using direct and indirect workflows,537TYRHV,Accuracy of impressions and framework marginal fit of implant-supported complete-arch fixed dental prostheses fabricated by using direct and indirect  workflows.,未使用非牙科专用3D软件
3d printing combined with thermally induced phase separation for engineering hierarchical osteogenic pla scaffolds,TSGU9522,3D printing combined with thermally induced phase separation for engineering hierarchical osteogenic PLA scaffolds.,不属于口腔医学范畴
interrogating matrix stiffness and metabolomics in pancreatic ductal carcinoma using an openable microfluidic tumor on a chip,F57EZPWW,Interrogating Matrix Stiffness and Metabolomics in Pancreatic Ductal Carcinoma Using an Openable Microfluidic Tumor-on-a-Chip,不属于口腔医学范畴
automated classification of oral potentially malignant disorders and oral squamous cell carcinoma using a convolutional neural network framework a cross sectional study,VPIZQDAL,Automated classification of oral potentially malignant disorders and oral squamous cell carcinoma using a convolutional neural network framework: a  cross-sectional study.,未使用非牙科专用3D软件
efficient registration of intraoral point clouds using 3 d spatial consistent grouping method with global optimization,CLJ8NKK8,Efficient Registration of Intraoral Point Clouds Using 3-D Spatial Consistent Grouping Method With Global Optimization,未使用非牙科专用3D软件
finite element analysis and optimization of the mechanical properties of polyetheretherketone peek clasps for removable partial dentures,H6N9BYSN,Finite-element analysis and optimization of the mechanical properties of polyetheretherketone (PEEK) clasps for removable partial dentures,不在预设时间窗内
three dimensional evaluation of maxillofacial symmetry improvement following orthognathic surgery in patients with asymmetrical jaw deformities,TIDGASTP,Three-dimensional evaluation of maxillofacial symmetry improvement following orthognathic surgery in patients with asymmetrical jaw deformities.,未使用非牙科专用3D软件
automated detection of dental artifacts for large scale radiomic analysis in radiation oncology,36H4R42E,Automated detection of dental artifacts for large-scale radiomic analysis in radiation oncology.,不属于口腔医学范畴
noninvasive total cholesterol level measurement using an e nose system and machine learning on exhaled breath samples,WHLDYICG,Noninvasive Total Cholesterol Level Measurement Using an E-Nose System and Machine Learning on Exhaled Breath Samples,不属于口腔医学范畴
normal growth sexual dimorphism and lateral asymmetries at fetal brain mri,4DYJD7NR,"Normal Growth, Sexual Dimorphism, and Lateral Asymmetries at Fetal Brain MRI",不属于口腔医学范畴
automatic femoral articular cartilage segmentation using deep learning in three dimensional ultrasound images of the knee,BBG7VQM6,Automatic femoral articular cartilage segmentation using deep learning in three-dimensional ultrasound images of the knee.,不属于口腔医学范畴
positron emission tomography based intratumoral spatial diversity for prognosis in nasopharyngeal carcinoma,WXVAEGB8,Positron emission tomography-based intratumoral spatial diversity for prognosis in nasopharyngeal carcinoma,不属于口腔医学范畴
