_nt,Title,期刊,Item Type,Key,PDF,判定,判定理由,软件,专科,应用场景,研究设计,原始返回
virtual setup in orthodontics planning and evaluation,Virtual setup in orthodontics: planning and evaluation.,Clinical oral investigations,journalArticle,7NEJ5SFL,Baan 等 - 2020 - Virtual setup in orthodontics planning and evaluation..pdf,EXCLUDE,"证据中该研究自身使用的是""in-house-created software, MED""（自研软件），而具名的 IPS CaseDesigner 属于牙科专用软件，均不符合""具名第三方非牙科3D软件""的纳入要求。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据中该研究自身使用的是""in-house-created software, MED""（自研软件），而具名的 IPS CaseDesigner 属于牙科专用软件，均不符合""具名第三方非牙科3D软件""的纳入要求。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
an open source three dimensional growth model of the mandible,"An open-source, three-dimensional growth model of the mandible.",Computers in biology and medicine,journalArticle,CLHU5JFE,"Klop 等 - 2024 - An open-source, three-dimensional growth model of the mandible.pdf",INCLUDE,"该研究自身在方法中使用具名第三方非牙科3D软件处理3D数据，如""segmented using a semi-automatic method in Brainlab Elements""以及""removed in Meshmixer (Autodesk Inc., San Rafael, CA, USA)""。",Brainlab Elements; Meshmixer,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用具名第三方非牙科3D软件处理3D数据，如""segmented using a semi-automatic method in Brainlab Elements""以及""removed in Meshmixer (Autodesk Inc., San Rafael, CA, USA)""。
【软件】: Brainlab Elements; Meshmixer
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
cross center model adaptive tooth segmentation,Cross-center Model Adaptive Tooth segmentation.,Medical image analysis,journalArticle,GM2LLIKT,Chen 等 - 2025 - Cross-center Model Adaptive Tooth segmentation..pdf,EXCLUDE,"该研究提出的是自研框架""CMAT""，其模型自适应由""tooth-level prototype alignment module, a progressive pseudo-labeling transfer module, and a tooth-prior regularized information maximization module""实现，证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究提出的是自研框架""CMAT""，其模型自适应由""tooth-level prototype alignment module, a progressive pseudo-labeling transfer module, and a tooth-prior regularized information maximization module""实现，证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
geo net geometry guided pretraining for tooth point cloud segmentation,Geo-Net: Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.,Journal of dental research,journalArticle,CY4M86BS,Liu 等 - 2024 - Geo-Net Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.pdf,EXCLUDE,"证据片段仅显示该研究提出自研的 Geo-Net 自监督预训练框架（""we propose a self-supervised pretraining framework, named Geo-Net""），未提及使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅显示该研究提出自研的 Geo-Net 自监督预训练框架（""we propose a self-supervised pretraining framework, named Geo-Net""），未提及使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
3d printing technologies for removable dentures manufacturing a review of potentials and challenges,3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,The European journal of prosthodontics and restorative dentistry,journalArticle,YWZB3ZFE,Alhallak和Nankali - 2022 - 3D Printing Technologies for Removable Dentures Manufacturing A Review of Potentials and Challenges.pdf,EXCLUDE,"该文献为综述（""The aim of this review is to investigate the use of 3D printing technologies...""），且证据片段中未出现该研究自身使用的任何具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为综述（""The aim of this review is to investigate the use of 3D printing technologies...""），且证据片段中未出现该研究自身使用的任何具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
redefining mri based skull segmentation through ai driven multimodal integration,Redefining MRI-Based Skull Segmentation Through AI-Driven Multimodal Integration.,Journal of imaging,journalArticle,7G2A3A2R,Beyer 等 - 2025 - Redefining MRI-Based Skull Segmentation Through AI-Driven Multimodal Integration.pdf,EXCLUDE,"证据片段仅显示该研究使用自研的深度学习模型（""train dedicated deep learning models""）进行MRI颅骨分割，未出现任何具名的第三方非牙科3D软件被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅显示该研究使用自研的深度学习模型（""train dedicated deep learning models""）进行MRI颅骨分割，未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
the role of patient specific implants in the oral and maxillofacial region,The role of patient specific implants in the oral and maxillofacial region.,"Medical journal, Armed Forces India",journalArticle,GNTHJANG,Roy 等 - 2024 - The role of patient specific implants in the oral and maxillofacial region.pdf,EXCLUDE,"该文献为综述（""This article reviews the varied aspects of this new technology of PSI""），且证据片段中仅泛泛提及 CAD/CAM 平台，未出现任何该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为综述（""This article reviews the varied aspects of this new technology of PSI""），且证据片段中仅泛泛提及 CAD/CAM 平台，未出现任何该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
digital duplication of maxillary complete denture a dental technique,Digital duplication of maxillary complete denture: A dental technique.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],journalArticle,JP3XLWTI,Fekri和Abdelaziz - 2023 - Digital duplication of maxillary complete denture A dental technique-1.pdf,INCLUDE,"该技术研究自身在方法中使用 ""The obtained DICOM file was segmented using an image computing platform software (3D slicer)""，3D Slicer 为具名第三方非牙科3D软件，用于3D数据处理。",3D Slicer,Prosthodontics,Image segmentation and 3D reconstruction,technical_note,"【判定】: INCLUDE
【判定理由】: 该技术研究自身在方法中使用 ""The obtained DICOM file was segmented using an image computing platform software (3D slicer)""，3D Slicer 为具名第三方非牙科3D软件，用于3D数据处理。
【软件】: 3D Slicer
【专科】: Prosthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: technical_note"
root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts,Root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts.,Odontology,journalArticle,78Q8XIIY,Febvey 等 - 2023 - Root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranber.pdf,EXCLUDE,"摘要明确说明该研究为""integrative review""（综述），且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 摘要明确说明该研究为""integrative review""（综述），且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
role of digital technologies in special care dentistry a scoping review,Role of Digital Technologies in Special Care Dentistry: A Scoping Review.,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American  Society for Geriatric Dentistry",journalArticle,EILJESU9,Kammer 等 - 2025 - Role of Digital Technologies in Special Care Dentistry A Scoping Review.pdf,EXCLUDE,"该文献为 scoping review（""This scoping review aims to explore...""），属于综述类型，不符合原创研究要求；且证据片段中仅泛泛提及 ""CAD/CAM systems, intraoral scanners, and 3D imaging technologies""，未显示该研究自身使用任何具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为 scoping review（""This scoping review aims to explore...""），属于综述类型，不符合原创研究要求；且证据片段中仅泛泛提及 ""CAD/CAM systems, intraoral scanners, and 3D imaging technologies""，未显示该研究自身使用任何具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
automated dentition segmentation 3d unet based approach with miscnn framework,Automated dentition segmentation: 3D UNet-based approach with MIScnn framework.,Journal of the World federation of orthodontists,journalArticle,R4FJVQAW,Kim 等 - 2025 - Automated dentition segmentation 3D UNet-based approach with MIScnn framework.pdf,EXCLUDE,"该研究使用的是自研的 3D UNet-based CNN 模型，证据片段仅提及 ""utilizing the Medical Image Segmentation CNN framework"" 和 ""AI-assisted segmentation software""，未出现任何具名的第三方非牙科3D软件被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究使用的是自研的 3D UNet-based CNN 模型，证据片段仅提及 ""utilizing the Medical Image Segmentation CNN framework"" 和 ""AI-assisted segmentation software""，未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
fusion of intra oral scans in cone beam computed tomography scans,Fusion of intra-oral scans in cone-beam computed tomography scans.,Clinical oral investigations,journalArticle,MGCLIWPA,Baan 等 - 2021 - Fusion of intra-oral scans in cone-beam computed tomography scans..pdf,EXCLUDE,证据片段显示该研究仅使用 IPS CaseDesigner® 和 OrthoAnalyzer™ 两款软件进行融合，二者均为牙科专用软件，未使用任何具名的第三方非牙科3D软件。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段显示该研究仅使用 IPS CaseDesigner® 和 OrthoAnalyzer™ 两款软件进行融合，二者均为牙科专用软件，未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
fully automated tooth segmentation and labeling for both full and partial arch intraoral scans using deep learning,Fully Automated Tooth Segmentation and Labeling for Both Full- and Partial-Arch Intraoral Scans Using Deep Learning.,International dental journal,journalArticle,V6QXLTTL,Cao 等 - 2025 - Fully Automated Tooth Segmentation and Labeling for Both Full- and Partial-Arch Intraoral Scans Usin.pdf,EXCLUDE,"该研究基于自研的两阶段深度学习模型（""The proposed model was based on a two-stage DL model (ToothInstanceNet)""），证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究基于自研的两阶段深度学习模型（""The proposed model was based on a two-stage DL model (ToothInstanceNet)""），证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
an update on cad cam usage for removable partial denture fabrication a systematic review,An update on CAD-CAM usage for removable partial denture fabrication: A systematic review.,Bioinformation,journalArticle,PNHT9ZGI,"Department of Prosthodontics, D.Y. Patil Deemed to be University, School of Dentistry, Navi Mumbai, Maharashtra, India 等 - 2024 - An update on CAD-CAM usage for removable partial denture fabrication A systematic review.pdf",EXCLUDE,"该文献为系统综述（题名明确标注""A systematic review""），属于排除的文献类型；且证据片段中仅泛泛提及""advanced CAD software""，未出现任何该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为系统综述（题名明确标注""A systematic review""），属于排除的文献类型；且证据片段中仅泛泛提及""advanced CAD software""，未出现任何该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
biomechanical evaluation of framework materials in all on four versus all on six prostheses a finite element study,Biomechanical Evaluation of Framework Materials in All-on-Four Versus All-on-Six Prostheses: A Finite Element Study.,Clinical and experimental dental research,journalArticle,QLPEUI2S,Cabbarova 等 - 2026 - Biomechanical Evaluation of Framework Materials in All‐on‐Four Versus All‐on‐Six Prostheses A Finit.pdf,EXCLUDE,抽取的证据片段中仅提及基于CBCT数据建立三维有限元模型及CAD-CAM材料，但未出现任何该研究自身使用的具名第三方非牙科3D软件（如Mimics、ANSYS、ABAQUS等）的原文证据。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 抽取的证据片段中仅提及基于CBCT数据建立三维有限元模型及CAD-CAM材料，但未出现任何该研究自身使用的具名第三方非牙科3D软件（如Mimics、ANSYS、ABAQUS等）的原文证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
influence of the frameworks of implant supported prostheses and implant connections on stress distribution,Influence of the frameworks of implant-supported prostheses and implant connections on stress distribution.,Dental and medical problems,journalArticle,UNK3IQDN,Tonin 等 - 2023 - Influence of the frameworks of implant-supported prostheses and implant connections on stress distri.pdf,EXCLUDE,"证据片段中仅提及""CAD/CAM system""及牙科专用扫描仪""D700 scanner (3Shape)""和""Ceramill Motion 2""铣床，未出现任何该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅提及""CAD/CAM system""及牙科专用扫描仪""D700 scanner (3Shape)""和""Ceramill Motion 2""铣床，未出现任何该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
numerical assessment tool to measure realism in clinical simulation,Numerical Assessment Tool to Measure Realism in Clinical Simulation.,International journal of environmental research and public health,journalArticle,YWHF6MK5,Coro-Montanet 等 - 2023 - Numerical Assessment Tool to Measure Realism in Clinical Simulation..pdf,EXCLUDE,"该研究主题为临床模拟真实性评估工具（ProRealSim v.1.0），不属于口腔医学任一学科；且证据中仅提及统计软件""R v4.02 software""，并非用于3D数据处理、分析、建模或测量的非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究主题为临床模拟真实性评估工具（ProRealSim v.1.0），不属于口腔医学任一学科；且证据中仅提及统计软件""R v4.02 software""，并非用于3D数据处理、分析、建模或测量的非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a comparative study on the effectiveness of augmented reality on denture tooth selection,A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection.,The European journal of prosthodontics and restorative dentistry,journalArticle,53Y9LVNA,Jiwan 等 - 2021 - A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection..pdf,EXCLUDE,"证据片段显示该研究使用的是自研的AR软件""our own augmented reality software package called ToothPick""，并未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段显示该研究使用的是自研的AR软件""our own augmented reality software package called ToothPick""，并未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
low cost high fidelity 3d printed temporomandibular joint tmj dislocation reduction task trainer,"Low-Cost, High-Fidelity 3D-Printed Temporomandibular Joint (TMJ) Dislocation Reduction Task Trainer.",Cureus,journalArticle,UNERRYKU,"Shin 等 - 2025 - Low-Cost, High-Fidelity 3D-Printed Temporomandibular Joint (TMJ) Dislocation Reduction Task Trainer.pdf",EXCLUDE,"证据片段仅描述3D打印组件的组装过程（""The assembly process begins once the 3D-printed components...are completed""），未提及该研究自身使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅描述3D打印组件的组装过程（""The assembly process begins once the 3D-printed components...are completed""），未提及该研究自身使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
