Title,_nt,Key,DOI,Journal,Item Type,Date,Year,Dental Specialty,Software Used (fixed),Application Scenario,Region,study_type,判定理由,国家来源
Influence of splinting scan bodies or incorporating three-dimensionally printed scan aids on the trueness of complete arch digital scans.,influence of splinting scan bodies or incorporating three dimensionally printed scan aids on the trueness of complete arch digital scans,YCBI9HI4,10.1016/j.prosdent.2024.07.001,The Journal of prosthetic dentistry,journalArticle,24-Oct,2024,Prosthodontics,SolidWorks;Geomagic Control X,Digital Design and Manufacturing,CYP,in_vitro,"""the custom scan bodies with a lateral extension were virtually designed (SolidWorks; Dassault Systèmes)""；""an auxiliary apparatus with 1 extended structure and 1 ring fragment was virtually designed (SolidWorks; Dassault Systèmes)""；""All STL files were imported to a metrology-grade inspection software program (Geomagic Control X; 3D systems)""",全文机构
"Time-resolved prediction of dental implant biomechanics through integration of finite element analysis, osseointegration dynamics, and deep learning",time resolved prediction of dental implant biomechanics through integration of finite element analysis osseointegration dynamics and deep learning,G9RBUHY9,10.1016/j.jmbbm.2025.107316,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,26-Mar,2026,Oral Implantology,SolidWorks;ANSYS Workbench,Biomechanical Analysis and Simulation,ESP,computational,"The implant geometry—a threaded, root-form, cylindrical-tapered design (4.0 mm diameter, 11 mm length)—was modeled in SolidWorks® and imported into ANSYS® Workbench (R1 2024).",全文机构
Randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,LQZ2C4X4,10.1038/s41598-026-49586-w,SCIENTIFIC REPORTS,journalArticle,2026/4/21,2026,Oral and Maxillofacial Surgery,Materialise Mimics,Image Segmentation and 3D Reconstruction,CHE,clinical,"Conventional segmentation was performed using commercial segmentation software (Materialise Mimics, version 26.0, Materialise NV, Leuven, Belgium)",全文机构
Accuracy of DICOM-DICOM vs. DICOM-STL Protocols in Computer-Guided Surgery: A Human Clinical Study,accuracy of dicom dicom vs dicom stl protocols in computer guided surgery a human clinical study,9EGJ5B29,10.3390/jcm11092336,JOURNAL OF CLINICAL MEDICINE,journalArticle,22-May,2022,Oral Implantology,Geomagic,3D Data Analysis and Accuracy Assessment,ITA,clinical,"Dataset was exported in STL format, and using the software's best-fit algorithm, the image of the implant was then isolated and coupled with the corresponding implant project file to measure the deviation between the positions (Geomagic, Geomagic, Morrisville, NC, USA).",Crossref
A novel approach to craniofacial analysis using automated 3D landmarking of the skull,a novel approach to craniofacial analysis using automated 3d landmarking of the skull,22IDN6AX,10.1038/s41598-024-63137-1,SCIENTIFIC REPORTS,journalArticle,2024/5/29,2024,Oral and Maxillofacial Surgery,3D Slicer;Blender;Meshmixer;MATLAB,Image Segmentation and 3D Reconstruction,BEL,computational,"""The DICOM images obtained from the CBCT were processed in the free software 3D Slicer32."" / ""The skull meshes were then imported into Blender33 where a half-cylindrical mesh was placed around the skull and the shrink-wrap modifier applied"" / ""the meshes were reduced to 30,000 triangles in Meshmixer34"" / ""using the MeshMonk framework28 in Matlab35""",全文机构
Development of 3D in vitro mineralized bone model to reproduce dental implants osseointegration process.,development of 3d in vitro mineralized bone model to reproduce dental implants osseointegration process,RBJV9U6L,10.1088/1758-5090/ae7b06,Biofabrication,journalArticle,2026/6/9,2026,Oral Implantology,Autodesk Fusion;ImageJ,Digital Design and Manufacturing,FRA,in_vitro,"""The scaffold was designed using AutoDesk Fusion software."" 以及 ""PLA filament thickness and porosity were analyzed using ImageJ software analysis of SEM images.""",全文机构
An in vitro evaluation of bond strength and failure behavior between 3D-printed cobalt-chromium alloy and different types of denture base resins,an in vitro evaluation of bond strength and failure behavior between 3d printed cobalt chromium alloy and different types of denture base resins,GZCR8ZD9,10.1016/j.jdent.2024.105119,JOURNAL OF DENTISTRY,journalArticle,24-Aug,2024,Prosthodontics,Autodesk Meshmixer;Magics,Digital Design and Manufacturing,KOR,in_vitro,"A computer-aided design (CAD) software (Autodesk Meshmixer version 3.5; Autodesk, Inc., San Rafael, CA) was used to design a disk-shaped specimen with an 8 mm in diameter and 2 mm in thickness",全文机构
The geometric relationship between root length and root surface area determined from digital tooth models.,the geometric relationship between root length and root surface area determined from digital tooth models,F5DKTHEG,10.1016/j.compbiomed.2025.110189,Computers in biology and medicine,journalArticle,25-Jun,2025,Orthodontics,Meshmixer,Image Segmentation and 3D Reconstruction,SGP,computational,"""Utilising Meshmixer Version 3.3 (Autodesk, 2022), the roots of each three-dimensional tooth model were separated from the crowns at the presumptive cemento-enamel junction (CEJ) through a semi-automated process by an experienced clinician."" 以及 ""Meshmixer was used to segment the roots from the crowns at the cemento-enamel junction (CEJ).""",全文机构
Accuracy of facial skeletal surfaces segmented from CT and CBCT radiographs,accuracy of facial skeletal surfaces segmented from ct and cbct radiographs,TXLBAMRE,10.1038/s41598-023-48320-0,SCIENTIFIC REPORTS,journalArticle,2023/11/28,2023,Oral and Maxillofacial Radiology,Artec Studio;Viewbox 4,3D Data Analysis and Accuracy Assessment,GRC,in_vitro,"""The raw data of the directly scanned skulls through the surface scanner were semi-automatically post-processed in the Artec Studio 16 software (Version 16.0.5.114, Luxembourg, Luxembourg) to create a complete full head surface model."" 以及 ""These were imported in Viewbox 4 software (dHAL Softwa...""",全文机构
Multi-Material 3D Printing of a Customized Sports Mouth Guard: Proof-of-Concept Clinical Case,multi material 3d printing of a customized sports mouth guard proof of concept clinical case,IHJYACL8,10.3390/ijerph182312762,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,21-Dec,2021,Prosthodontics,ZBrush,Digital Design and Manufacturing,DEU,case_report,"""The aligned jaw scans were saved in STL format and uploaded in the free-form CAD software (Zbrush, Pixologic Inc, Los Angeles, California, USA) in order to design a multilayer MG."" 以及 ""the 'inflat' tool was used to generate two separate layers—inner and outer... using 'inflat' tool in the Zbrush software.""",Crossref
Is All-on-four effective in case of partial mandibular resection? A 3D finite element study,is all on four effective in case of partial mandibular resection a 3d finite element study,CC9R3U63,10.1016/j.jormas.2023.101463,JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,journalArticle,23-Oct,2023,Oral and Maxillofacial Surgery,Mimics;SolidWorks;ANSYS,Biomechanical Analysis and Simulation,ITA,computational,"""The TC scan was performed with 1 mm-thick slices and then processed using Mimics version 10.01 to obtain two 3D masks simulating cancellous and cortical bone"" ; ""transferred to SolidWorks version 2020, with which all the faceting of the mandibular surface was smoothed out"" ; ""The surfaces thus obtained were uploaded into the ANSYS v11 software for FE analysis.""",全文机构
Development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner.,development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner,QX8DEXZK,10.1016/j.forsciint.2024.112303,Forensic science international,journalArticle,25-Jan,2025,Forensic Odontology,GOM Inspect,3D Data Analysis and Accuracy Assessment,HUN,in_vitro,"""The region of the scanned palate exhibiting rugae was cropped in the GOM Inspect software (Suite 2020, GOM GmbH, Braunschweig, Germany)."" 及 ""five rugae were randomly selected on each of the ten lambs' palates each day in the GOM Inspect software""",全文机构
Feasibility study and material selection for powder-bed fusion process in printing of denture clasps.,feasibility study and material selection for powder bed fusion process in printing of denture clasps,26HSVAMX,10.1016/j.compbiomed.2023.106772,Computers in biology and medicine,journalArticle,23-May,2023,Prosthodontics,Geomagic Studio 2014;Magics 21.0,Digital Design and Manufacturing,CHN,in_vitro,"""no undercuts were made on the lingual surface using reverse engineering software (Geomagic Studio 2014, 3D Systems, US)""；""A cylindrical base was virtually added to the bottom of the abutment tooth using preparation software (Magics 21.0, Materialise, Belgium)""；""A cylindrical bar was virtually added to the top of the rest using the Geomagic Studio 2014 software""；""The scan data (Scan Data A) of each clasp specimen were initially aligned with the CAD data through N-point alignment using Geomagic S",全文机构
Ortho-OPD: An Automatic Osteotomy Planes Design Model for Orthognathic Surgery Based on Deep Learning,ortho opd an automatic osteotomy planes design model for orthognathic surgery based on deep learning,XXD237D5,10.1109/JBHI.2025.3638775,IEEE Journal of Biomedical and Health Informatics,journalArticle,26-Jun,2026,Oral and Maxillofacial Surgery,Mimics,Image Segmentation and 3D Reconstruction,CHN,computational,"All these data were transformed into nii.gz format using Mimics software (Materialise, Belgium) for the following model development.",Crossref
