序号,Title,Item Type,Date,裁定理由,审核轮次
6,Three-dimensional digital applications for implant space planning in orthodontics: A narrative review.,journalArticle,2022/12,"综述/meta 分析（非原创研究）：标题明确标注为""narrative review""，属于综述类文献，不符合原创研究、技术说明或病例报",第一轮
2512,Compliance Control and Simulation of a Next-Generation Chewing Robot,conferencePaper,2023/07,边界情形，经研判属非口腔范畴（期刊与摘要均非口腔医学）：该文献为咀嚼机器人（chewing robot）的工程控制研究，属于机器人/工程领域，并,第一轮
2490,YOLO_MIC3: Facial Keypoints Detection Algorithm for Aggregating Reduced-Dimensional MRI Images,conferencePaper,2025/03,会议论文且为非牙科/演示类,第一轮
2354,Demonstration of VirtuEleDent: A Compact XR Tooth-Cutting Training System Using a Physical EMR-based Dental Handpiece and Teeth Model,conferencePaper,2025/03,会议论文且为非牙科/演示类,第一轮
2095,Validity of a patient-specific percutaneous nephrolithotomy (PCNL) simulated surgical rehearsal platform: impact on patient and surgical outcomes,journalArticle,2022/03,非口腔医学范畴：该文献研究的是经皮肾镜取石术（PCNL）的模拟手术演练平台，属于泌尿外科/肾脏领域，与口腔医学无关。,第一轮
2032,Accuracy and reliability of automated three-dimensional facial landmarking in medical and biological studies. A systematic review,journalArticle,2023/07,"综述/meta 分析（非原创研究）：标题明确标注为""systematic review""（系统综述），属于非原创研究类型，不符合纳入标准",第一轮
2023,"Customized 3D-Printed Scaffolds for Alveolar Ridge Augmentation: A Scoping Review of Workflows, Technology, and Materials",journalArticle,2025/07,"综述/meta 分析（非原创研究）：标题明确标注为""Scoping Review""，摘要也说明是按照PRISMA指南进行的范围综述，属于",第一轮
1860,"Biomimetic, mussel-inspired surface modification of 3D-printed biodegradable polylactic acid scaffolds with nano-hydroxyapatite for bone tissue engineering",journalArticle,2022/09,边界情形，经研判属非口腔范畴（期刊与摘要均非口腔医学）：该研究为骨组织工程（非口腔医学）领域的3D打印支架材料研究，与口腔医学临床实践或研究无关,第一轮
1761,"Comparison of image quality of 3D ultrasound: motorized acquisition versus freehand navigated acquisition, a phantom study",journalArticle,2023/09,非口腔医学范畴：该文献研究的是肿瘤手术中切除边缘评估的3D超声成像质量，属于肿瘤外科/影像工程领域，与口腔医学无关。,第一轮
1648,Machine learning and topological data analysis identify unique features of human papillae in 3D scans,journalArticle,2023/12,边界情形，经研判属非口腔范畴（期刊与摘要均非口腔医学）：该研究聚焦于舌乳头（papillae）的3D扫描与机器学习分析，属于味觉/生物学基础研究,第一轮
