序号,Key,Title,Archetype
1,49BSQFC2,"Tooth shape and sex estimation: a 3D geometric morphometric landmark-based comparative analysis of artificial neural networks, support vector machines, and Random Forest models",1
2,88HUKGCR,Evaluation of the use of PEEK material in post-core and crown restorations using finite element analysis,3
3,AES2CIZM,Automated assessment of mandibular shape asymmetry in 3-dimensions.,1
4,I5RLGRTP,Accuracy of 3-dimensional stereophotogrammetry: Comparison of the 3dMD and Bellus3D facial scanning systems with one another and with direct anthropometry.,1
5,HIB4B72X,Comparison of digital study model superimposition methods using implant-supported crowns and best-fit algorithms,2
6,4ZGWKF9Y,Estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the Invisalign appliance,1
7,P23TVHFB,Effect of build angle and layer height on the accuracy of 3-dimensional printed dental models,2
8,I7KVKAFC,Effect of print orientation and duration of ultraviolet curing on the dimensional accuracy of a 3-dimensionally printed orthodontic clear aligner design,4
9,378PQPRK,Three-dimensional zone of centers of resistance in maxillary central incisors and first molars: Couple-based finite element determination,3
10,SE6G5JDN,Comparison of 1-and 3-piece directly 3-dimensional printed indirect bonding trays: An in vitro study,2
11,PDF7C9KQ,Evaluation of planned and achieved root angulation changes in teeth adjacent to mandibular premolar extraction sites in patients treated with Invisalign: A retrospective study,1
12,JHGMXHR6,"Accuracy of a new, slim, and rigid CAD-CAM transfer tray: An in vivo study",2
13,C5PL839F,Different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces: Finite element analysis,1
14,SNIDCHC3,Assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition: A retrospective study,2
15,HIY5AECS,Biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,3
16,GHP84UX8,Where is the center of resistance of a maxillary first molar? A 3-dimensional finite element analysis,1
17,U5GXFII9,Cross-modality imaging of bisphosphonate-treated murine jawbones,1
18,9LU3ERIG,Three-Dimensional Tooth Models with Pulp Cavity Enhance Dental Anatomy Education,4
19,T8Q2R8EA,Effect of the presence of orthodontic brackets on intraoral scans.,2
20,3NRBHY63,Application of a virtual and mixed reality-navigation system using commercially available devices to the lateral temporal bone resection.,1
21,6SIK9KIX,A Feasibility Study of HoloLens Ear Image Guidance for Ear Reconstruction,1
22,SUL3GW4D,MarginView3D: A Novel Software Enabling Comprehensive Three-Dimensional Surgical Pathology Documentation for Improved Intra- and Postoperative Cancer Care,1
23,WPFWC6I6,Automatic Segmentation of Dental Root Canal and Merging with Crown Shape.,1
