_nt,Title,期刊,Item Type,原流程原因,判定,判定理由,专科,应用场景,软件,研究设计,原始返回
a comparative study on the effectiveness of augmented reality on denture tooth selection,A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection.,The European journal of prosthodontics and restorative dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明研究团队使用 MeshLab 软件对全口义齿前牙进行3D扫描处理以创建虚拟牙齿库。,Prosthodontics,Digital design and manufacturing,MeshLab,clinical,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明研究团队使用 MeshLab 软件对全口义齿前牙进行3D扫描处理以创建虚拟牙齿库。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: MeshLab
【研究设计】: clinical"
an open source three dimensional growth model of the mandible,"An open-source, three-dimensional growth model of the mandible.",Computers in biology and medicine,journalArticle,No non-dental 3D software identified,INCLUDE,该研究方法中明确使用 Meshmixer 手动去除牙区以处理3D模型，且使用 Brainlab Elements 进行半自动分割。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Meshmixer; Brainlab Elements,computational,"【判定】: INCLUDE
【判定理由】: 该研究方法中明确使用 Meshmixer 手动去除牙区以处理3D模型，且使用 Brainlab Elements 进行半自动分割。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Meshmixer; Brainlab Elements
【研究设计】: computational"
mechanotherapeutic modulation of the nasal microenvironment rampa induced maxillofacial remodeling and its pathophysiological impact on mucus rheology and chronic inflammation,Mechanotherapeutic Modulation of the Nasal Microenvironment: RAMPA-Induced Maxillofacial Remodeling and Its Pathophysiological Impact on Mucus Rheology and  Chronic Inflammation.,"Bioengineering (Basel, Switzerland)",journalArticle,Outside the scope of dentistry,INCLUDE,该研究方法中明确使用 ANSYS Workbench 17.2 进行有限元分析，并使用 Mimics Innovation Suite 进行CBCT图像分割与体积定量。,Orthodontics,Biomechanical analysis and simulation,ANSYS; Mimics,computational,"【判定】: INCLUDE
【判定理由】: 该研究方法中明确使用 ANSYS Workbench 17.2 进行有限元分析，并使用 Mimics Innovation Suite 进行CBCT图像分割与体积定量。
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: ANSYS; Mimics
【研究设计】: computational"
redefining mri based skull segmentation through ai driven multimodal integration,Redefining MRI-Based Skull Segmentation Through AI-Driven Multimodal Integration.,Journal of imaging,journalArticle,Outside the scope of dentistry,INCLUDE,全文明确说明作者将CT图像导入 Mimics Innovation Suite (Version 25.0) 进行半自动颅骨分割与CT-MRI配准，属研究自身方法使用非牙科3D软件。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Mimics,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明作者将CT图像导入 Mimics Innovation Suite (Version 25.0) 进行半自动颅骨分割与CT-MRI配准，属研究自身方法使用非牙科3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: computational"
digital duplication of maxillary complete denture a dental technique,Digital duplication of maxillary complete denture: A dental technique.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],journalArticle,No non-dental 3D software identified,INCLUDE,该技术说明明确描述自身方法中将CBCT的DICOM文件导入3D Slicer 4.10.2进行分割并转为STL，属研究自己使用非牙科专用3D软件。,Prosthodontics,Image segmentation and 3D reconstruction,3D Slicer,technical_note,"【判定】: INCLUDE
【判定理由】: 该技术说明明确描述自身方法中将CBCT的DICOM文件导入3D Slicer 4.10.2进行分割并转为STL，属研究自己使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: technical_note"
biomechanical evaluation of framework materials in all on four versus all on six prostheses a finite element study,Biomechanical Evaluation of Framework Materials in All-on-Four Versus All-on-Six Prostheses: A Finite Element Study.,Clinical and experimental dental research,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用MIMICS进行解剖分割、Geomagic Design X进行表面优化、SolidWorks进行虚拟种植规划。,Prosthodontics,Biomechanical analysis and simulation,MIMICS; Geomagic Design X; SolidWorks,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用MIMICS进行解剖分割、Geomagic Design X进行表面优化、SolidWorks进行虚拟种植规划。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: MIMICS; Geomagic Design X; SolidWorks
【研究设计】: computational"
evaluation of an ai based segmentation model for mandibular fracture segmentation on cbct using volumetric and 2d slice based validation approaches,Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volumetric and 2D slice-based validation approaches.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明研究者自己使用 3D Slicer (Slicer 5.8.0) 对 CBCT 图像进行逐层手动分割以建立 ground truth 标注。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明研究者自己使用 3D Slicer (Slicer 5.8.0) 对 CBCT 图像进行逐层手动分割以建立 ground truth 标注。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: computational"
accuracy of static computer assisted implant placement in posterior edentulous areas with different levels of tooth support by novice clinicians,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,The European journal of prosthodontics and restorative dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自身使用三维渲染软件 Geomagic Control X 进行模型叠加与植入物偏差测量。,Implantology,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自身使用三维渲染软件 Geomagic Control X 进行模型叠加与植入物偏差测量。
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
stress distribution in titanium and zirconia implants with full arch prostheses a finite element analysis,Stress distribution in titanium and zirconia implants with full-arch prostheses: a finite element analysis.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明该研究自己使用 3DSlicer 处理 CT 数据、Blender 进行逆向工程建模、ALTAIR Hypermesh 划分网格。,Implantology,Biomechanical analysis and simulation,3D Slicer; Blender; HyperMesh,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明该研究自己使用 3DSlicer 处理 CT 数据、Blender 进行逆向工程建模、ALTAIR Hypermesh 划分网格。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; Blender; HyperMesh
【研究设计】: computational"
development of micro ct based anatomically accurate tooth model for finite element analysis of composite restorations,Development of Micro-CT-Based Anatomically Accurate Tooth Model for Finite Element Analysis of Composite Restorations.,Dentistry journal,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明该研究自己使用 3D Slicer 进行 micro-CT 图像分割、Solid Edge 进行网格修复、Blender 进行表面修正。,Restorative Dentistry,Biomechanical analysis and simulation,3D Slicer; Solid Edge; Blender,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明该研究自己使用 3D Slicer 进行 micro-CT 图像分割、Solid Edge 进行网格修复、Blender 进行表面修正。
【专科】: Restorative Dentistry
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; Solid Edge; Blender
【研究设计】: computational"
